お釣り,exchange
ダンダン
一連,sequence
上司,boss
上昇調,rising intonation
上記,mentioned above
不動産屋
与える,to give
世話になる,to receive a favor
両者,both person
主題,topic
事柄,matter
事項
互いに,mutually
代表,substitution
以降,from now
仮定
伴う,to accompany
住まい,dwelling
促す
入れ替える,to replace
公共,public
共に,together
共有,sharing
出来事,accident
切手,stamp
利用,reason
券売機,wending
前件,prev case
前後,prev and after
前提
加える,to add
労り
動かす,to move
動作
勧める,to offfer
区切る,to partition
印象,imagination
参照,referene
反対,oposition
反応,response
収録,recording
取り立てる,to hightligh
可,can
可否,can cant
各自,everyoe
同室,both room
同様に,identically
吟味,investigation
否定,negative
商品,goods
喚起,arosal
回数,number repeats
地域,region
型,pattern
場面,scene
境界線,boundery line
学習,learning
完了,complete
宗教,relig
実情,real situation
実際,real
客観的,unbiased
対照,contrast
尊敬,polite
尊敬語,polite lang
尊重,respect
尋ねる,to ask
導く,to guide
導入,introdcuion
少額,small sum
居間,living room
左,left
幅,width
年賀状,new years card
引き続き,without break
弾く,to play
従う,to obay
従属節
得る
必要性,necessity
応答,answer
恩恵,favor
患者,patient
想定,expect
意向,intent
感想,impression
感謝,respect
慣れる,to get used to
成立
所持,posession
手助け,help
手段
手順,sequence of actions
拾う
指の独立,finger indep
指導,guidance
指示
挨拶,greetings
掃除
授受,give and receive
接する,to be adjecent
接続,connection
揃える,to arrange
描写
提出,presentation
提示
握る,to grast
揶揄う,to tease
撮影,photography
故郷,home town
教材
散歩,walk
敬語,polite
数個,severa
数量,quantity
整理,sorting
文型,patternt
文章,sentence
断る,to refuse
新出語,new words
方向,direction
既習
時制,tense
時間軸,time axis
暇,free time
有無,non exist
期限,period
未習,future learn
条件
来客,guest
板書,bord writing
架空,imaginary
業務,business
構成,composition
機会,chance
機械,machine
機能,function
欄,paragraph
欲求,desired
歓談,conversation
止める,to stop tr
歯科医院,dental clinic
段階
母国語,country lang
気味,-like
気遣い,worry
求める,to wish for
決定,decision
沿う,to follow guides
渡す
漠然
無縁
特徴,feature
状態
独身,single person
現金,cash
用いる,to use
用意,preps(intention)
用法,rules
田舎,rural
留意,attention
留意点,attenion
疑問
症状
発話
皆無
目的語,object
相席,sitting together
相当,correspond
相撲
省略,omission
砕ける,to break
確定
確認,verification
示す
禁止,forbid
移動,transfer
種類
第三者,thrid party
約束,promise
終わる,to end intr
組織,organization
経験,exp
絵教材
練習の際,in pracrtice
繋がり,connection
繰り返し,to repeat
聞き手,listenr
職業 
肯定,affirmationve
自宅,own house
著しい,considerable
行う,to do
行き先,destination
行為,deed
表す,to express
複数
要る,need
見学,examination
規則
視覚的,visual
解説,explanation detailed
記録,recording
訪問,visit
訪問先,visit purpose
設定
許可,permit
診察,medical exam
評価,eval
詞,word
話し手,speaker
詳しい,detaieled
誘う,to invide
語る,to talk
語彙,vocab
誤解,misunder
読解,reading compor
費用,cost
資料,docs
距離,dist
身につける,to remember
身内,close circle
身分,public status
身近,close to oneself
辞する,to take leave
込める,to load
迎える,to go to meet
近況報告,local info sharing
返答
追う
送別会
逆,in reverse
逆立ち,to stand on ones head
通過
進む
過去
病状
道順,path sequence
選択
配慮,worry
野球,baseball
門限,closing hours
関する,to be concerned
関係,relation
降りる,to get off
限る,to restrict
離れる,to be separated
静か,quest
順,sequence
順序
順番,turn
飲食店,restaurant
作業,task
登場,arrival place
人物,character
特定,specific
状況,situation
異なる,to differ
余裕,surplus
軽い
治療,treatment
当然,corresponding
難易度
習慣,manners
判断
意志
依願
助言
情報
提供
頼り
方言, dialect
唱える
構造,structure
直前,just before
区別,distinction
夫,husband
合わせる,to match
所在
将来,future
廊下,corridor
初級,beginner
位置
依然
様子,state
意図
遅れる,to be late
始動,start movement
振舞う,to behave
一般的,tupical
想像,imagination
時速,speed per hour
昨夜,last night
副次的
見分ける,to distinct
期間,period
季節,seasons
進行
渡る
添加
累加
充電,charge
電池,battery
詐欺師
確立された接続
切断された接続
発信者
信号,signal
受信エリア
通知
発信者の身元,caller origin
自撮り,selfi
電話を切る,to stop call
充電器,charing device
通話先
通話元
発信
着信
不都合
遺憾
何らか,somehow
伝える,to transmit
月に一度,once a month
お馴染み,familiar
迷いなく,without hasit
底
防止
認識
スキャン,scan
無神経,insensitive
アプリ,applciation
トランザクション,transaction
オンライン,onraint
指示に従う,to follow instructions
知覚
最後,last time
被害者,
自身
大事,important
行動
