1 pen[cilinder cnt.],一本のペン,いっぽんのぺん
10th car[without other cnt],第十の車,だいじゅうのくるま
2nd time[cnt ordinal+prefix],二回目,にかいめ
3 cars[machines cnt.],三台の車,さんだい
3rd party,第三者,だいさんしゃ
4 people[cnt.],四人,よんにん
5 questions[cnt.],五問,ごもん
6 cup of tee[cups cnt.],六杯,ろくはいのお茶
6 times[cnt. times],六回,ろっかい
7 apples[small cnt.],七個のリンゴ,ななこのりんご
7 books[cnt. volume],七冊,ななさつ
8 dogs[small animals cnt.],八匹の犬,はちびきのいぬ
9 sheets notebook[sheet cnt.],九枚のノート,きゅうまいののと
a stock exchange tax[securities],証券取引所税,しょうけんとりひきじょぜい
ability to describe,描写力,びょうしゃりょく
above-mentioned,上記,じょうき
absentee voting[throw+ticket],不在者投票,ふざいしゃとうひょう
abstract(non concrete)[pull+statue],抽象的,ちゅうしょうてき
abundance[large+quantity],多量,たりょう
acceleration[add+speed],加速度,かそくど
action current[electric+flow],活動電流,かつどうでんりゅう
activation energy[impose+activity],賦活エネルギー,ふかつ
adaptation[obay+answer],順応,じゅんのう
addictive drug,習慣性薬物,しゅうかんせいやくぶつ
additive[accompany+add],添加物,てんかぶつ
advice[help+say],助言,じょげん
affect[state+move],情動,じょうどう
affirmation[agree+fix],肯定,こうてい
all-or-none law,全か無かの法則,ぜんかむかのほうそく
amplification[increment+width],増幅,ぞうふく
amplitude[hand swing + width],振幅,しんぷく
analgesia[non+pain+feeling],無痛覚,むつうかく
analogue[type+similar+body],類似体,るいじたい
analyzer[part+split+device],分析器,ぶんせきき
apparent(not real),見かけ,みかけ
appearance(on a stage)[climb+place],登場,とうじょう
appetite[eat+desire],食欲,しょくよく
application(software),アプリ,あぷる
array[distribute+row],配列,はいれつ
asymmetry[non-facing+name],非対称,ひたいしょう
Atlantic Ocean[large+west+ocean],大西洋,たいせいよう
attention deficit[lack+equal],注意欠如,ちゅういけつじょ
atypical,非定形,ひていけい
Average(math)[flat+equal],平均,へいきん
awakening[call+wake],喚起,かんき
Baseball[field+ball],野球,やきゅう
basic[fundamental+main],基本的,きほんてき
battery,電池,でんち
before and after(photo),前後,ぜんご
behavior,行動,こうどう
being upside down,逆立ち,さかだち
beyond expectations,想定外,そうていがい
bill(at a restaurant),会計,かいけい
boiling point,沸騰点,ふっとうてん
both persons,両者,りょうしゃ
bottle of potion,水薬の瓶,みずぐすりのびん
bottom(of page),底,そこ
breach of the rules[Regular/uniform],規則違反,きそくいはん
busy,忙しい,いそがしい
by any means,手段を選ばずに,しゅだんをえらばずに
by the way,因みに,ちなみに
by-product,副産物,ふくさんぶつ
caller identity,発信者の身元,はっしんしゃのみもと
Canal[pass+river],運河,うんが
capacity to act[go+do],行為能力,こういのうりょく
Carbon[coal+plain],炭素,たんそ
cash money,現金,げんきん
center(general),中心,ちゅうしん
change(from cash),お釣り,おつり
character(game),人物,じんぶつ
charger,充電器,じゅうでんき
class(of objects),組,くみ
cleaning[sweep+exclude],掃除,そうじ
close circle,身内,みうち
Collision,衝突,しょうとつ
common,共通,きょうつう
compatibility,適合性,てきごうせい
completion,完了,かんりょう
complex action,複合活動,ふくごうかつどう
component,構成要素,こうせいようそ
composition(assembly),構成,こうせい
concrete(non abstract),具体的,ぐたいてき
condition(grammar),条件,じょうけん
configurable,設定可能,せっていかのう
confusion,錯乱,さくらん
connection(adjacent+continue),接続,せつぞく
Consciousness,意識性,いしきせい
consent or refusal,有無,うむ
considerable(remarkable),著しい,いちじるしい
consideration,配慮,はいりょ
contents,内容,ないよう
continuous aspect(grammar),継続相,けいぞくそう
continuously[pulled+continue],引き続き,ひきつづき
contraction,収縮,しゅうしゅく
contrast(oppose+illuminate),対照,たいしょう
contributor,提供者,ていきょうしゃ
convergence,収束,しゅうそく
correct(i-adj),正しい,ただしい
correct(na-adj),正確,せいかく
correction,補正,ほせい
corridor,廊下,ろうか
cost,費用,ひよう
course(new path discovered),道順,みちじゅん
coworker,同僚,どうりょう
Crime,犯罪,はんざい
Critique of Judgment[judgemen+critique],判断力批判,はんだんりょくひはん
curve,曲線,きょくせん
day off(holiday),休暇,きゅうか
decision(decide+fix),決定,けってい
decomposer(parts apart),分解者,ぶんかいしゃ
deficiency,欠乏,けつぼう
definitive,確定的,かくていてき
delay,遅延,ちえん
dental clinic,歯科医院,しかいいん
desensitization,脱感受性,だつかんじゅせい
destination general,行き先,いきさき
destination of a visit,訪問先,ほうもんさき
detailed explanation,解説,かいせつ
detailed,詳しい,くわしい
dialect,方言,ほうげん
different form,異型,いけい
