一日,ついたち,1
二日,ふつか,2
三日,みっか,3
四日,よっか,4
五日,いつか,5
六日,むいか,6
七日,なのか,7
八日,ようか,8
九日,ここのか,9
十日,とおか,10
十一日,じゅういちにち,11
十二日,じゅうににち,12
十三日,じゅうさんにち,13
十四日,じゅうよっか,14
十五日,じゅうごにち,15
十六日,じゅうろくにち,16
十七日,じゅうしちにち,17
十八日,じゅうはちにち,18
十九日,じゅうくにち,19
二十日,はつか,20
二十一日,にじゅういちにち,21
二十二日,にじゅうににち,22
二十三日,にじゅうさんにち,23
二十四日,にじゅうよっか,24
二十五日,にじゅうごにち,25
二十六日,にじゅうろくにち,26
二十七日,にじゅうしちにち,27
二十八日,にじゅうはちにち,28
二十九日,にじゅうくにち,29
三十日,さんじゅうにち,30
三十一日,さんじゅういちにち,31
月曜日,げつようび,Monday 
火曜日,かようび,Tuesday 
水曜日,すいようび, Wednesday 
木曜日,もくようび,Thursday 
金曜日,きにょうび,Friday 
土曜日,どようび,Saturday 
日曜日,にちようび,Sunday 
去年,きょねん,previous year
一昨年,おととし,2 years back
来年,らいねん,next year
再来年,さらいねん,2 years after
1.5円,いちてんごえん,1.5 yen
