文章,ぶんしょう,written composition
連絡,れんらく,contacting
増える,ふれる,to increase
瓶,びん,bottle
捨てる,すてる,to throw away
ゴミ箱,ごみばこ,trash bin
缶,かん,tin con
正確,せいかく,correct(na-adj)
正しい,ただしい,correct(i-adj)
一本,いっぽん,cnt. cylindrical obj
二つ,ふたつ,cnt. any obj
三台,さんだい,cnt. machines(cars)
四人,よんにん,cnt. people
五冊,ごさつ,cnt. volumes(book)
六杯,ろくはい,cnt. cup/bowls
七個,ななこ,cnt. small obj(apple)
八匹,はちびき,cnt. small anim
九枚,きゅうまい,cnt. sheets of paper
十台目車,じゅうだいめくるま,cnt. ordinal 
三か月,さんかげつ,period of 3 month
学生証,がくせいしょう,student ID card
忙しい,いそがしい,busy
店舗,てんぽ,store
に関する,にかんする,related to (topic)
早速,さっそく,immediately(=すぐに)
四角,しかく,square
部分,ぶぶん,part of
視力,しりょく,visual acuity
計る,はかる,to measure
測る,はかる,to measure
測定,そくてい,measurement
会計,かいけい,bill(at a restaurant)
理解,りかい,understanding
