目標    ?
所有    posession
現在    present time
解説    explanation
速度    speed    
紹介    introduction
申し出  statement
依頼    request
承諾    ?
発言    ?
共感    ?emotion
嗜好    liked
対象    target
挙げる  ?to rise
併せて  in addition
響き    connection
好ましい    liked
参考    reference
各国語  all languages
副詞    ?
貧乏    poor
指す    to point
丁寧体  ?
身近な例    examples close to self
後文    next sentense
結果    result
結論    conclusion
繋ぐ    to connect
添える  to give
文末    end of sentence
日常的  typical
既に    already
述べる  to tell
断る    to refuse
誤用    misuse
含める  to include
存在    existance
語句    words and phrases
発展    progress
名乗る  to give name
演じる  to play a role 
所在    ?location
土産屋  souvinir shop
項目    item
植物    vegetable
主体    subject
示す    to show
対比    contrast
片方    one half of two
広げる  to widen
撮る    to take a photo
硬貨    coin
貼る    to attach
見回す  to look around
代入    assignment
名称    title
助数詞  cnt particle
期間    period
授ける  ?
標準語  standard lang
硬い    hard
比べる  to compare
植える  to grow
演説    public speach
既設    ?
戦果    war result
乏しい  poor
副作用  ?
嗜眠    deep sleep
併用    ?
所属    to belong to
スラスラ    smooth
実物    real thing
構成    to be compose
一定期間    fixed term period
頻度    ?acceleration
単位    unit
扱う    to deal with
定着    fixed
括る    ?
状況    ?condition
手帳    notebook
継続    ?continuation
切れ目のない    seemless
比較    ?
続ける  to continue
復習    review
面積    ?area
差      to show
交える  to mix
