暇,ひま,free time
板書,ばんしょ,writing on a blackboard
出来事,できごと,event
印象,いんしょう,impression
各自,かくじ,each
著しい,いちじるしい,considerable(remarkable)
資料,しりょう,documents
文型,ぶんけう,sentence pattern
未習,みしゅう,unlearned
段階,だんかい,phase
選択,せんたく,selection
野球,やきゅう,Baseball
来客,らいきゃく,visitor
方向,ほうこう,Direction
境界線,きょうかいせん,boundary line
視覚的,しかくてき,visual(editor)
対照,たいしょう,contrast(anti+illuminate)
診察,しんさつ,physical examination
労り,いたわり, sympathy
身につける,みにつける,to learn
返答,へんとう,answer
砕ける,くだける,to be broken(intr)
弾く,ひく,to play musical
現金,げんきん,cash money
逆立ち,さかだち,being upside down
左,ひだり,left
収録,しゅうろく,recording
整理,せいり,sorting
握る,にぎる,to grasp(tr)
離れる,はなれる,to separated(intr)
複数,ふくすう,plural
代表,だいひょう,representative of a set(things like)
種類,しゅるい,kind(category)
省略,しょうりゃく,omission
読解,どっかい,reading comprehansion
表す,あらわす,to show(to express)
数量,すうりょう,quantity
数個,すうこ,several
費用,ひよう,cost
拾う,ひろう,to pick up
可否,かひ,can or cant
相当,そうとう,corresponding to(in meaning)
伴う,ともなう,to accompany(intr)
数量,すうりょう,quantity
接する,せっする,to be adjacent(itnr)
時間軸,じかんじく,time axis
喚起,かんき,arousal
有無,うむ,existence or nonexistence
掃除,そうじ,cleaning
ダンダン,だんだん,more and more
相撲,すもう,Sumo
語る,かたる,to talk about(tr)
記録,きろく,record(documented)
回数,かいすう,number of times
皆無,かいむ,non-existant
機会,きかい,opportunity
順序,じゅんじょ,sequence
事柄,ことがら,matter
要る,いる,to need
不動産屋,ふどうさんや,real estate agent
尊敬,そんけい,respect
機械,きかい,machine
成立,せいりつ,formation(of a sentence)
お釣り,おつり,change(from cash)
恩恵,おんけい,grace(favor)
身内,みうち,relatives(family)
表す,あらわす,to represent(tr)
進む,すすむ,to advance(forward)
込める,こめる,to load(a gun)
