持って行く,もっていく,to bring to(to carry)
受け入れる,うけいれる,to accept tr
返す,かえす,to return (tr)
取り上げる,とりあげる,to adress an issue(to pick up)
し続ける,しつづける,to continue(doing something)
備える,そなえる,to prepare(for exam)
住宅ローン,じゅうたくろーん,Mortgage loan
待ち続ける,まちつづける,to keep waiting
取り組む,とりくむ, to work hard on
投げ出す,なげだす, to throw out(abandon)
転がり落ちる,ころがりおちる,to fall down(stairs)
しらけ切る,しらけきる,to become sober suddenly
注意をする,ちゅういをする,to warn someone
売り込む,うりこむ,to build a market for
通りかかる,とおりかかる,happen to pass
差し出す,さしだす,to present(to show)
出迎える,でむかえる,to greet
