愛情,あいじょう,love
合図,あいず,sign
相手,あいて,companion
暗記,あんき,memorization
安定,あんてい,stability
意外,いがい,unexpected
生き物,いきもの,living thing
医師,いし,doctor
意思,いし,intention
意識,いしき,consciousness
以前,いぜん,ago
偉大,いだい,greatness
位置,いち,place
一度に,いちどに,all at once
市場,いちば,marketplace
一番,いちばん,best
一家,いっか,a house
一種,いっしゅ,a species
一体,いったい,one object
一方,いっぽう,on the other hand
居眠り,いねむり,dozing
違反,いはん,violation (of law)
居間,いま,living room (western style)
以来,いらい,since
引退,いんたい,retire
引用,いんよう,quotation
受け取る,うけとる,to receive
翻訳,ほんやく,translation
禁止,きんし,prohibition
笑顔,えがお,smiling face
演説,えんぜつ,speech
追い付く,おいつく,to overtake
王様,おうさま,king
王子,おうじ,prince
横断,おうだん,crossing
大家,おおや,landlord
お互い,おたがい,mutual
お腹,おなか,stomach
お昼,おひる,lunch
看護師,かんごし,(hospital) nurse
思い出,おもいで,memories
会員,かいいん,member
絵画,かいが,picture
海外,かいがい,foreign
会計,かいけい,account
解決,かいけつ,settlement
会合,かいごう,meeting
外交,がいこう,diplomacy
開始,かいし,start
画家,がか,painter
化学,かがく,chemistry
家具,かぐ,furniture
確実,かくじつ,certainty
学者,がくしゃ,scholar
学習,がくしゅう,study
確認,かくにん,affirmation
学問,がくもん,scholarship
過去,かこ,the past
泥棒,どろぼう,thief
家事,かじ,housework
歌手,かしゅ,singer
方々,かたがた,persons
活気,かっき,energy
学期,がっき,term (school)
格好,かっこう,shape
活動,かつどう,action
活用,かつよう,conjugation
汽車,きしゃ,steam train
科目,かもく,(school) subject
感覚,かんかく,sense
観客,かんきゃく,audience
観光,かんこう,sightseeing
観察,かんさつ,observation
感情,かんじょう,emotion(s)
感心,かんしん,admiration
関心,かんしん,concern
完成,かんせい,complete
完全,かんぜん,perfection
感動,かんどう,being deeply moved
関連,かんれん,relation
議員,ぎいん,member of the Diet
議会,ぎかい,Diet
期間,きかん,period
機関,きかん,organ
気候,きこう,climate
生地,きじ,cloth
記事,きじ,article
記者,きしゃ,reporter
期待,きたい,expectation
帰宅,きたく,returning home
議長,ぎちょう,chairman
気付く,きづく,to notice
記入,きにゅう,entry
記念,きねん,commemoration
機能,きのう,function
寄付,きふ,contribution
気味,きみ,-like
疑問,ぎもん,question
吸収,きゅうしゅう,absorption
急速,きゅうそく,rapid (e.g. progress)
給料,きゅうりょう,salary
教科書,きょうかしょ,text book
供給,きょうきゅう,supply
教師,きょうし,teacher (classroom)
強調,きょうちょう,emphasis
共通,きょうつう,commonness
共同,きょうどう,cooperation
恐怖,きょうふ,be afraid
強力,きょうりょく,herculean strength
議論,ぎろん,argument
近代,きんだい,present day
偶然,ぐうぜん,(by) chance
具体,ぐたい,concrete
苦痛,くつう,pain
組合,くみあい,association
苦労,くろう,troubles
計画,けいかく,to plan
景気,けいき,condition
経験,けいけん,experience
警告,けいこく,warning
経由,けいゆ,go by the way
決心,けっしん,determination
欠席,けっせき,absence
決定,けってい,decision
欠点,けってん,faults
見解,けんかい,opinion
限界,げんかい,limit
現金,げんきん,cash
言語,げんご,language
現在,げんざい,present
現実,げんじつ,reality
現状,げんじょう,present condition
現代,げんだい,nowadays
見当,けんとう,be found
現場,げんば,actual spot
権利,けんり,right
幸運,こううん,good luck
合格,ごうかく,success
光景,こうけい,scene
合計,ごうけい,sum total
広告,こうこく,advertisement
交際,こうさい,company
後者,こうしゃ,the latter
工場,こうじょう,factory
構成,こうせい,organization
高速,こうそく,high speed
行動,こうどう,action
強盗,ごうとう,robbery
幸福,こうふく,happiness
公平,こうへい,fairness
誤解,ごかい,misunderstanding
呼吸,こきゅう,breath
国民,こくみん,national
国家,こっか,state
国会,こっかい,National Diet
小屋,こや,hut
今回,こんかい,now
困難,こんなん,difficulty
婚約,こんやく,engagement
最高,さいこう,highest
財産,ざいさん,property
最終,さいしゅう,last
最中,さいちゅう,in the middle of
才能,さいのう,talent
作業,さぎょう,work
拝見,はいけん,seeing
作品,さくひん,work
作物,さくもつ,produce (e.g. agricultural)
座席,ざせき,seat
作家,さっか,author
作曲,さっきょく,composition
差別,さべつ,discrimination
作法,さほう,manners
様々,さまざま,varied
参加,さんか,participation
参考,さんこう,reference
時期,じき,time
支給,しきゅう,payment
事件,じけん,event
時刻,じこく,instant
自殺,じさつ,suicide
事実,じじつ,fact
支出,ししゅつ,expenditure
事情,じじょう,circumstances
自然,しぜん,nature
思想,しそう,thought
支度,したく,preparation
失業,しつぎょう,unemployment
実験,じっけん,experiment
実現,じつげん,implementation
実行,じっこう,practice
実際,じっさい,practical
失望,しつぼう,disappointment
支店,してん,branch store (office)
自動,じどう,automatic
支配,しはい,rule
八百屋,やおや,greengrocer
支払う,しはらう,to pay
死亡,しぼう,death
資本,しほん,funds
姉妹,しまい,sisters
事務,じむ,business
借金,しゃっきん,debt
週間,しゅうかん,week period
重大,じゅうだい,serious
