1,亜,亞,二,7,S,,あ
2,哀,,口,9,S,,あい
3,挨,,手,10,S,2010,あい
4,愛,,心,13,4,,あい
5,曖,,日,17,S,2010,あい
6,悪,惡,心,11,3,,あく
7,握,,手,12,S,,あく
8,圧,壓,土,5,5,,あつ
9,扱,,手,6,S,,あつかい
10,宛,,宀,8,S,2010,あて
11,嵐,,山,12,S,2010,あらし
12,安,,宀,6,3,,あん
13,案,,木,10,4,,あん
14,暗,,日,13,3,,あん
15,以,,人,5,4,,い
16,衣,,衣,6,4,,い
17,位,,人,7,4,,い
18,囲,圍,囗,7,5,,い
19,医,醫,酉,7,3,,い
20,依,,人,8,S,,い
21,委,,女,8,3,,い
22,威,,女,9,S,,い
23,為,爲,爪,9,S,,い
24,畏,,田,9,S,2010,い
25,胃,,肉,9,6,,い
26,尉,,寸,11,S,,い
27,異,,田,11,6,,い
28,移,,禾,11,5,,い
29,萎,,艸,11,S,2010,い
30,偉,,人,12,S,,い
31,椅,,木,12,S,2010,い
32,彙,,彐,13,S,2010,い
33,意,,心,13,3,,い
34,違,,辵,13,S,,い
35,維,,糸,14,S,,い
36,慰,,心,15,S,,い
37,遺,,辵,15,6,,い
38,緯,,糸,16,S,,い
39,域,,土,11,6,,いき
40,育,,肉,8,3,,いく
41,一,,一,1,1,,いち
42,壱,壹,士,7,S,,いち
43,逸,逸,辵,11,S,,いつ
44,茨,,艸,9,4,2010,いばら
45,芋,,艸,6,S,,いも
46,引,,弓,4,2,,いん
47,印,,卩,6,4,,いん
48,因,,囗,6,5,,いん
49,咽,,口,9,S,2010,いん
50,姻,,女,9,S,,いん
51,員,,口,10,3,,いん
52,院,,阜,10,3,,いん
53,淫,,水,11,S,2010,いん
54,陰,,阜,11,S,,いん
55,飲,,食,12,3,,いん
56,隠,隱,阜,14,S,,いん
57,韻,,音,19,S,,いん
58,右,,口,5,1,,う
59,宇,,宀,6,6,,う
60,羽,,羽,6,2,,う
61,雨,,雨,8,1,,う
62,唄,,口,10,S,2010,うた
63,鬱,,鬯,29,S,2010,うつ
64,畝,,田,10,S,,うね
65,浦,,水,10,S,,うら
66,運,,辵,12,3,,うん
67,雲,,雨,12,2,,うん
68,永,,水,5,5,,えい
69,泳,,水,8,3,,えい
70,英,,艸,8,4,,えい
71,映,,日,9,6,,えい
72,栄,榮,木,9,4,,えい
73,営,營,火,12,5,,えい
74,詠,,言,12,S,,えい
75,影,,彡,15,S,,えい
76,鋭,,金,15,S,,えい
77,衛,衞,行,16,5,,えい
78,易,,日,8,5,,えき
79,疫,,疒,9,S,,えき
80,益,,皿,10,5,,えき
81,液,,水,11,5,,えき
82,駅,驛,馬,14,3,,えき
83,悦,,心,10,S,,えつ
84,越,,走,12,S,,えつ
85,謁,謁,言,15,S,,えつ
86,閲,,門,15,S,,えつ
87,円,圓,囗,4,1,,えん
88,延,,廴,8,6,,えん
89,沿,,水,8,6,,えん
90,炎,,火,8,S,,えん
91,怨,,心,9,S,2010,えん
92,宴,,宀,10,S,,えん
93,媛,,女,12,4,2010,えん
94,援,,手,12,S,,えん
95,園,,囗,13,2,,えん
96,煙,,火,13,S,,えん
97,猿,,犬,13,S,1981,えん
98,遠,,辵,13,2,,えん
99,鉛,,金,13,S,,えん
100,塩,鹽,鹵,13,4,,えん
101,演,,水,14,5,,えん
102,縁,緣,糸,15,S,,えん
103,艶,艷,色,19,S,2010,えん
104,汚,,水,6,S,,お
105,王,,玉,4,1,,おう
106,凹,,凵,5,S,1981,おう
107,央,,大,5,3,,おい
108,応,應,心,7,5,,おう
109,往,,彳,8,5,,おう
110,押,,手,8,S,,おう
111,旺,,日,8,S,2010,おう
112,欧,歐,欠,8,S,,おう
113,殴,毆,殳,8,S,,おう
114,桜,櫻,木,10,5,,おう
115,翁,,羽,10,S,,おう
116,奥,奧,大,12,S,,おう
117,横,橫,木,15,3,,おう
118,岡,,山,8,4,2010,おか
119,屋,,尸,9,3,,おく
120,億,,人,15,4,,おく
121,憶,,心,16,S,,おく
122,臆,,肉,17,S,2010,おく
123,虞,,虍,13,S,,おそれ
124,乙,,乙,1,S,,おつ
125,俺,,人,10,S,2010,おれ
126,卸,,卩,9,S,,おろし
127,音,,音,9,1,,おん
128,恩,,心,10,6,,おん
129,温,溫,水,12,3,,おん
130,穏,穩,禾,16,S,,おん
131,下,,一,3,1,,か
132,化,,匕,4,3,,か
133,火,,火,4,1,,か
134,加,,力,5,4,,か
135,可,,口,5,5,,か
136,仮,假,人,6,5,,か
137,何,,人,7,2,,か
138,花,,艸,7,1,,か
139,佳,,人,8,S,,か
140,価,價,人,8,5,,か
141,果,,木,8,4,,か
142,河,,水,8,5,,か
143,苛,,艸,8,S,2010,か
144,科,,禾,9,2,,か
145,架,,木,9,S,,か
146,夏,,夊,10,2,,か
147,家,,宀,10,2,,か
148,荷,,艸,10,3,,か
149,華,,艸,10,S,,か
150,菓,,艸,11,S,,か
151,貨,,貝,11,4,,か
152,渦,,水,12,S,1981,か
153,過,,辵,12,5,,か
154,嫁,,女,13,S,,よめ
155,暇,,日,13,S,,か
156,禍,禍,示,13,S,,か
157,靴,,革,13,S,1981,か
158,寡,,宀,14,S,,か
159,歌,,欠,14,2,,か
160,箇,,竹,14,S,,か
161,稼,,禾,15,S,1981,か
162,課,,言,15,4,,か
163,蚊,,虫,10,S,,か
164,牙,,牙,4,S,2010,が
