+to absorb something,「を吸収する」,きゅうしゅうする
+to accelerate,「が加速」,かそくする
[to speed up]
[in math the formula is a=v/t, speed divided by time]
+to access something,「をアクセス」,あくせすする
+to accompany,「お供する」,おともする
+to act like someone,「振る舞う」,ふるまう
+to rage,「が暴れる」,あばれる
+to sum up quantities,「を足す」,たす
+to add something,「を加える」,くわえる
+to adjust something,「を調整する」,ちょうせいする
+to get affected,「影響を受ける」
+to have same opinion about something,「を同意する」,どういする
+to agree to favour one thing over another,「賛成する」,さんせいする,
+to align with something,「を合わせる」,あわせる
+to allow something,「を許可する」,きょかする
+to analyse something,「を分析する」,ぶんせきする
+to answer someone,「を答える」,こたえる
+to apologize,「が謝る」,あやまる
+to appear,「が現れる」,あらわれる
+to approach something,～に近づく,ちかづく
+to put something somewhere,「をおく」,おく
+to put away ,「片付ける」,かたづける
+to arrest someone,「逮捕する」,たいほする
[to capture someone]
+to prevent something,「阻止する」,そうしする
[to prevent burglary]

+to attach something to something,「～を～に付ける」,つける
[to attach a file to an email]
[to attach is to add to a surface. Something like a sticker]
[attach cables to TV set]

+to attract something ,「～を引き付ける」,ひきつける
[i have attracted your attention]
[the Earth is attracted to the Sun]
[magnet can attract iron]

+to charm,「魅了する」,みりょうする

+to avoid something,「～を避ける」,さける

+to admire,「～に憧れる」,あこがれる

+to be confident about something,「～について自信を持つ」,じしんをもつ

+to be familiar with something,「～に精通する」,せいつうする
[i am familiar with this place]
[i am familiar with this person]

+to be heard,「聞こえる」,きこえる

+to behave like someone,「～のように振る舞う」,ふるまう
[]

+to believe in something,「～を信じる」,しんじる
[]

+to use something,「を使う」,つかう
+to wait for something,「を待つ」,まつ
+to walk somewhere,「に歩く」,あるく
+to warn someone,「に注意をする」,ちゅういをする
+to wash something,「を洗う」,あらう
+to wear something,「を着る」,きる
+to win something,「に勝つ」,かつ
+to wish for something,「〜を望む」,のぞむ
+to write something,「を書く」,かく

+to bend something,「～を曲げる」,まげる
[this pipe is bent the wrong way]
[that's because i have bent the pipe the wrong way]

+to bite something,「を噛み付く」,かみつく
[]

+to blame someone,「誰かを責める」,せめる
[]

+to become sad,「悲しくなる」,かなしくなる
[]


+to borrow something,「借りる」,かりる
[]

+to break something,「～を壊す」,こわす
[i broke my watch]
[the famous athlete broke the world record]

+to breath,「が呼吸する」,こきゅうする
[]

+to build something,「～を建てる」,たてる
[ants bild their nests under a tree]

+to bully someone,「誰かをいじめる」,いじめる
[i was bullied a lot at school]

+to burn something,「～を燃やす」,もやす
[i have burned my finger, it hurts]

+to capture something,「～を捕まえる」,つかまえる
[i have captured a fish]
[animal that excaped from the zoo was finally captured]

+to chase someone,「誰かを追いかける」,おいかける
[after hours of chasing escaped animal, the resque team finally caught it]

+to buy something,「を買う」,かう
[]

+to close something,「～を閉める」,しめる
[to close a water tap]
[to close a door]
[to put something from a opened state into closed state]
[to close an application]

+to cook,「料理する」,りょうりする
[]

+to cry ,「鳴く」,なく

+to cut something,「切る」,きる

+to decide on something,「～を決める」,きめる
[i have decided to go to buy something]
[i have set my mind]

+to cross something,「～を横切る」,よこぎる
[to cross a line]
[to cross a street]
[all across the world]
[to move over some limited area, to enter the area and to exit is to cross]

+to doubt someone,「誰かを疑う」,うたがう
+to draw something,「～を描く」,えがく
+to drive something,「～を運転する」,うんてんする
+to drop something,「～を落とす」,おとす
+to dry something up,「～を乾かす」,かわかす
+to eat something,「を食べる」,たべる
+to sell something,「を売る」,うる
+to smile ,「に微笑む」,ほほえむ
+to sound,「が鳴る」,なる
+to sleep,「が寝る」,ねる
+to steal something,「を盗む」,ぬすむ
+to step on something,「を踏む」,ふむ
+to swim,「が泳ぐ」,およぐ
+to take off cloth,「を脱ぐ」,ぬぐ
+to talk,「と話す」,はなす
+to think about something,「〜について考える」,かんがえる
+to throw (abandon) something out,「を投げ出す」,なげだす
+to throw something,「を投げる」,なげる
+to show something,「を見せる」,みせる
+to shine,「が光る」,ひかる
+to sharpen something,「を研ぐ」,とぐ
+to send something,「を送る」,おくる
+to separate from,「と離れる」,はなれる
+to see something,「を見る」,みる
+to seek something(to search),「を探す」,さがす
+to make sound ,「が鳴る」,なる
+to say something,「を言う」,いう
+to move ,「が動く」,うごく
+to move something,「を動かす」,うごかす
