野菜,やさい,vegetable
間,ま,a space
上る,のぼる,to rise
郵便局,ゆうびんきょく,post office
味,あじ,flavour
明日,あした,tomorrow
枝,えだ,branch
集める,あつめる,to collect(trn)
安心,あんしん,relief
以下,いか,less than
以外,いがい,with the exception of
医学,いがく,medical science
豚肉,ぶたにく,pork
意見,いけん,opinion
以上,いじょう,more than
急ぐ,いそぐ,to hurry
一度,いちど,once
動く,うごく,to move
写す,うつす,to copy or photograph
売り場,うりば,place where things are sold
運転,うんてん,to drive
運転手,うんてんしゅ,driver
運動,うんどう,to exercise
屋上,おくじょう,rooftop
送る,おくる,to send
起こす,おこす,to wake
行う,おこなう,to do
音,おと,sound
思い出す,おもいだす,to remember
思う,おもう,to think, to feel
親,おや,parents
下りる,おりる,to get off
終わり,おわり,the end
会場,かいじょう,assembly hall
会話,かいわ,conversation
帰り,かえり,return
火事,かじ,fire
お金持ち,おかねもち,rich man
通う,かよう,to commute
代わり,かわり,substitute
考える,かんがえる,to consider
気,き,spirit
聞こえる,きこえる,to be heard
気持ち,きもち,feeling, mood
着物,きもの,kimono
急,きゅう,urgent
急行,きゅうこう,express
教会,きょうかい,church
空気,くうき, atmosphere
緑,みどり,green
研究,けんきゅう,research
研究室,けんきゅうしつ, laboratory
見物,けんぶつ,sightseeing
短い,みじかい,short
工業,こうぎょう,the manufacturing industry
高校,こうこう,high school
高校生,こうこうせい,high school student
戸,と,door
校長,こうちょう,headmaster
心,こころ,heart
小鳥,ことり,small bird
今度,こんど,next time
今夜,こんや,tonight
下がる,さがる,to get down
下げる,さげる,to lower
さ来月,さらいげつ,the month after next
さ来週,さらいしゅう,the week after next
字,じ,character
仕方,しかた,method
試験,しけん,examination
時代,じだい,era
下着,したぎ,underwear
品物,しなもの,goods
社会,しゃかい,society, public
社長,しゃちょう,company president
出発,しゅっぱつ,to depart
小学校,しょうがっこう,elementary school
食事,しょくじ,to have a meal
食料品,しょくりょうひん,groceries
知らせる,しらせる,to notify
人口,じんこう,population
親切,しんせつ,kindness
新聞社,しんぶんしゃ,newspaper company
水道,すいどう,water supply
西洋,せいよう,western countries
世界,せかい,the world
庭,にわ,garden
大学生,だいがくせい,university student
大事,だいじ,important
台風,たいふう,typhoon
足す,たす,to add a number
正しい,ただしい,correct
立てる,たてる,to stand something up
建てる,たてる,to build
楽しみ,たのしみ,joy
楽しむ,たのしむ,to enjoy oneself
足りる,たりる,to be enough
力,ちから,strength, power
注意,ちゅうい,caution
中学校,ちゅうがっこう,junior high school
地理,ちり,geography
店員,てんいん,shop assistant
通る,とおる,to go through
特に,とくに,particularly, especially
特別,とくべつ,special
特急,とっきゅう,limited express train
止める,やめる,to stop something
中々,なかなか,considerably
座る,すわる,to sit
入学,にゅうがく,to enter school or university
運ぶ,はこぶ,to transport
始める,はじめる,to begin
発音,はつおん,pronunciation
花見,はなみ,cherry-blossom viewing
日,ひ、にち,day, sun
火,ひ,fire
開く,ひらく,to open an event
昼間,ひるま,daytime
昼休み,ひるやすみ,noon break
文学,ぶんがく,literature
別,べつ,different
差す,さす,to shine
咲く,さく,to bloom
見つかる,みつかる,to be discovered
見つける,みつける,to discover
止む,やむ,to stop
用,よう,use
用意,ようい,preparation
用事,ようじ,things to do
旅館,りょかん,Japanese hotel
別れる,わかれる,to separate
会う,あう,to meet
吹く,ふく,to blow
吸う,すう,to smoke
明い,あかるい,bright
切符,きっぷ,ticket
開ける,あける,to open
朝,あさ,morning
足,あし,foot, leg
新しい,あたらしい,new
橋,はし,bridge
姉,あね,(humble) older sister
歯,は,tooth
首,くび,neck
医者,いしゃ,medical doctor
飛行場,ひこうじょう,airport
意味,いみ,meaning
集まる,あつまる,to gather something
入口,いりぐち,entrance
色,いろ,colour
降り出す,ふりだす,to begin to rain
間に合う,まにあう,to be in time for
金持ち,かねもち,rich person
部長,ぶちょう,head of a section
上着,うわぎ,jacket
選ぶ,えらぶ,to select
映画館,えいがかん,cinema
遊び,あそび,playing
