Question,Answers,Comment,Instructions,Render as
(a stock) exchange tax,とりひきじょぜい,取引所税,,
3rd party,だいさんしゃ,第三者,,
grass(lawn),しばふ,芝生,,
help,てだすけ,手助け,,
ability to describe,びょうしゃりょく,描写力,,
above-mentioned,じょうき,上記,,
absentee voting,ふざいしゃとうひょう,不在者投票,,
abstract(non concrete),ちゅうしょうてき,抽象的,,
abundance,たりょう,多量,,
acceleration,かそくど,加速度,,
acceptable,か,可,,
accommodation,じゅんのう,順応,,
action current,かつどうでんりゅう,活動電流,,
activation,ふかつ,賦活,,
addictive drug,しゅうかんせいやくぶつ,習慣性薬物,,
additive,てんかぶつ,添加物,,
adequate stimulus,てきごうしげき,適合刺激,,
advice,じょげん,助言,,
affection,じょうどう,情動,,
affirmitive(agree+fix),こうてい,肯定,,
after that(something follows without a break),ひきつづき,引き続き,,
agreement,いっち,一致,,
all-or-none law,ぜんかむかのほうそく,全か無の法則,,
amplification,ぞうふく,増幅,,
amplitude,しんぷく,振幅,,
analgesia,むつうかく,無痛覚,,
analyzer (device),ぶんせきき,分析器,,
answer,へんとう,返答,,
apparent(not real),みかけ,見かけ,,
appearance like on a stage,とうじょう,登場,,
appearance(visual),ようす,様子,,
appetite,しょくよく,食欲,,
request for day off,きゅうかねがい,休暇願い,,
application(software),あぷる,アプリ,,
archive(document) photo,しりょうしゃしん,資料写真,,
arousal,かくせい,覚醒,,
arousal(summon+wake),かんき,喚起,,
array,はいれつ,配列,,
as well as,および,及び,,
assumption(temp+fix),かてい,仮定,,
asymmetry,ひたいしょう,非対称,,
Atlantic ocean,たいせいよう,大西洋,,
attention deficit,ちゅういけつじょ,注意欠如,,
attenuation,げんすい,減衰,,
atypical,ひていけい,非定形,,
Average,へいきん,平均,,
Baseball,やきゅう,野球,,
basic,きほんてき,基本的,,
battery,でんち,電池,,
before and after(photo),ぜんご,前後,,
Behavior(verb),こうどう,行動,,
being upside down,さかだち,逆立ち,,
benefit,おんけい,恩恵,,
beyond expectations,そうていがい,想定想定外,,
biased(subjective),しゅかんてき,主観的,,
bill(at a restaurant),かいけい,会計,,
boiling point,ふっとうてん,沸騰点,,
both persons,りょうしゃ,両者,,
bottle,びん,瓶,,
bottom(of page),そこ,底,,
breach of the rules,きそくいはん,規則違反,,
busy,いそがしい,忙しい,,
by any means,しゅだんをえらばずに,手段を選ばずに,,
by the way,ちなみに,因みに,,
by-product,ふくさんぶつ,副産物,,
caller identity,はっしんしゃのみもと,発信者の身元,,
caller(originator),はっしんしゃ,発信者,,
can or cant,かひ,可否,,
Canal,うんが,運河,,
capacity to act,こういのうりょく,行為能力,,
Carbon,たんそ,炭素,,
careful investigation(verify),ぎんみ,吟味,,
cash money,げんきん,現金,,
central ,ちゅうすうせい,中枢性,,
change(from cash),おつり,お釣り,,
character(game),じんぶつ,人物,,
charge,じゅうでん,充電,,
charger,じゅうでんき,充電器,,
class(of objects),くみ,組,,
cleaning(sweep+exclude),そうじ,掃除,,
close circle,みうち,身内,,
closing time,もんげん,門限,,
cnt. any obj,ふたつ,二つ,,
cnt. cases,じけん,事件,,
cnt. cup/bowls,ろくはい,六杯,,
cnt. cylindrical obj,いっぽん,一本,,
cnt. machines(cars),さんだい,三台,,
cnt. ordinal ,じゅうだいめくるま,十台目車,,
cnt. people,よんにん,四人,,
cnt. questions,ごじゅうもん,五十問,,
cnt. sheets of paper,きゅうまい,九枚,,
cnt. small anim,はちびき,八匹,,
cnt. small obj(apple),ななこ,七個,,
cnt. times rep,にかいめ,二回目,,
cnt. times,ろっかい,六回,,
cnt. volumes(book),ごさつ,五冊,,
Collision,しょうとつ,衝突,,
Coma,こんすい,昏睡,,
common,きょうつう,共通,,
completion,かんりょう,完了,,
complex action,ふくごうかつどう,複合活動,,
component,こうせいようそ,構成要素,,
composition(assembly),こうせい,構成,,
concrete(non abstract),ぐたいてき,具体的,,
condition(grammar),じょうけん,条件,,
configurable,せっていかのう,設定可能,,
confusion,さくらん,錯乱,,
