Question,Answers,Comment,Instructions,Render as
初,しょ,,,
典,てん,,,
則,そく,,,
事,じ,,,
危,き,,,
争,そう,,,
予,よ,,,
両,りょう,,,
便,べん,,,
卒,そつ,,,
別,べつ,,,
備,び,,,
値,ね,,,
下,か,,,
利,り,,,
中,ちゅう,,,
再,さ,,,
務,む,,,
内,ない,,,
世,せ,,,
仕,し,,,
入,にゅう,,,
医,い,,,
代,たい,,,
不,ふ,,,
交,こう,,,
丁,てい,,,
単,たん,,,
切,せつ,,,
一,いち,,,
十,じゅう,,,
冷,れい,,,
反,はん,,,
介,かい,,,
具,ぐ,,,
公,こう,,,
係,けい,,,
体,たい,,,
分,ぶん,,,
二,に,,,
人,じん,,,
上,じょう,,,
到,とう,,,
会,かい,,,
原,げん,,,
動,どう,,,
以,い,,,
今,こん,,,
全,ぜん,,,
一丁上下不世,いちていじょうかふせ,,,
両中予争事二,りょうちゅうよそうじに,,,
交人今介仕代,こうじんこんかいしたい,,,
以会体便係値,いかいたいべんけいね,,,
備入全公具典,びにゅうぜんこうぐてん,,,
内再冷分切初,ないされいぶんせつしょ,,,
別利到則動務,べつりとうそくどうむ,,,
医十卒単危原,いじゅうそつたんきげん,,,
初典則事,しょてんそくじ,,,
危争予両,きそうよりょう,,,
便卒別備,べんそつべつび,,,
値下利中,ねかりちゅう,,,
再務内世,さむないせ,,,
仕入医代,しにゅういたい,,,
不交丁単,ふこうていたん,,,
切一十冷,せついちじゅうれい,,,
反介具公,はんかいぐこう,,,
係体分二,けいたいぶんに,,,
人上到会,じんじょうとうかい,,,
原動以今,げんどういこん,,,
宿,しゅく,,,
季,き,,,
射,しゃ,,,
命,めい,,,
屋,おく,,,
家,か,,,
告,こく,,,
対,たい,,,
外,がい,,,
察,さつ,,,
国,こく,,,
夢,む,,,
史,し,,,
定,てい,,,
寧,ねい,,,
場,じょう,,,
守,しゅ,,,
小,しょう,,,
合,あい,,,
嘩,か,,,
女,じょ,,,
品,ひん,,,
室,しつ,,,
度,ど,,,
将,しょう,,,
失,しつ,,,
工,こう,,,
因,いん,,,
夜,や,,,
展,てん,,,
学,がく,,,
味,み,,,
大,だい,,,
口,こう,,,
好,こう,,,
常,じょう,,,
台,たい,,,
喧,けん,,,
園,えん,,,
団,だん,,,
報,ほう,,,
店,てん,,,
員,いん,,,
布,ふ,,,
婦,ふ,,,
岸,がん,,,
地,ち,,,
堂,どう,,,
噌,そ,,,
市,し,,,
口台史合告味,こうたいしあいこくみ,,,
命品員喧嘩噌,めいひんいんけんかそ,,,
因団国園地堂,いんだんこくえんちどう,,,
報場外夜夢大,ほうじょうがいやむだい,,,
失女好婦季学,しつじょこうふきがく,,,
守定室家宿察,しゅていしつかしゅくさつ,,,
寧対射将小屋,ねいたいしゃしょうしょうおく,,,
展岸工市布常,てんがんこうしふじょう,,,
宿季射命,しゅくきしゃめい,,,
屋家告対,おくかこくたい,,,
外察国夢,がいさつこくむ,,,
史定寧場,していねいじょう,,,
守小合嘩,しゅしょうあいか,,,
女品室度,じょひんしつど,,,
将失工因,しょうしつこういん,,,
夜展学味,やてんがくみ,,,
大口好常,だいこうこうじょう,,,
台喧園団,たいけんえんだん,,,
報店員布,ほうてんいんふ,,,
婦岸地堂,ふがんちどう,,,
昨,さく,,,
料,りょう,,,
暖,だん,,,
念,ねん,,,
木,もく,,,
易,えき,,,
後,ご,,,
景,け,,,
指,し,,,
時,じ,,,
我,が,,,
政,せい,,,
彼,かの,,,
旅,りょ,,,
普,ふ,,,
拝,はい,,,
方,ほう,,,
月,げつ,,,
律,りつ,,,
意,い,,,
教,きょう,,,
急,きゅう,,,
明,めい,,,
棚,たな,,,
最,さい,,,
敗,はい,,,
柔,じゅう,,,
慮,りょ,,,
放,ほう,,,
束,そく,,,
新,しん,,,
復,ふく,,,
故,こ,,,
当,とう,,,
数,すう,,,
案,あん,,,
形,けい,,,
怪,け,,,
房,ぼう,,,
懸,けん,,,
技,ぎ,,,
棒,ぼう,,,
性,せい,,,
格,かく,,,
文,ぶん,,,
来,らい,,,
所,しょ,,,
手,しゅ,,,
慣,かん,,,
校,こう,,,
当形彼律後復,とうけいかのりつごふく,,,
念急性怪意慣,ねんきゅうせいけいかん,,,
慮懸我房所手,りょけんがぼうしょしゅ,,,
技拝指放政故,ぎはいしほうせいこ,,,
敗教数文料新,はいきょうすうぶんりょうしん,,,
方旅明易昨時,ほうりょめいえきさくじ,,,
普景暖最月木,ふけだんさいげつもく,,,
束来柔校格案,そくらいじゅうこうかくあん,,,
昨料暖念,さくりょうだんねん,,,
木易後景,もくえきごけ,,,
指時我政,しじがせい,,,
彼旅普拝,かのりょふはい,,,
方月律意,ほうげつりつい,,,
教急明棚,きょうきゅうめいたな,,,
最敗柔慮,さいはいじゅうりょ,,,
放束新復,ほうそくしんふく,,,
故当数案,ことうすうあん,,,
形怪房懸,けいけぼうけん,,,
技棒性格,ぎぼうせいかく,,,
