Question,Answers,Comment,Instructions,Render as
か行変格動詞,かぎょうへんかくどうし,irregular ,,
やり取り,やりとり,arguing back and forth,,
一杯,いっぱい,one cup,,
一段動詞,いちだんどうし,1st-grade verb,,
一般的,いっぱんてき,typical,,
与える,あたえる,to give,,
両者,りょうしゃ,both persons,,
主語,しゅご,subject(grammar)  ,,
主題,しゅだい,theme(music),,
互いに,おたがいに,each other,,
五段動詞,ごだんどうし,5th-grade verb,,
他動詞,たどうし,tr verb,,
代名詞,だいめいし,pronoun(substitute+name),,
仮定形,かていけい,conditional form(hypotetical + determine),,
住まい,すまい,dwelling,,
使役受け身形,しえきうけみけい,causative+passive(who made action happen),,
使役形,しえきけい,causative (who makes action happen),,
修飾,しゅうしょく,modifier(decor),,
借りる,かりる,borrowed = もらう,,
入れ替える,いれかえる,to replace(re+),,
共に,ともに,to do together,,
内容,ないよう,content,,
助詞,じょし,particle(help),,
動かす,うごかす,tr. to move,,
動作,どうさ,movements,,
動詞,どうし,verb,,
勧める,すすめる,to offer,,
参照,さんしょう,reference,,
受け身形,うけみけい,passive(what action happened),,
可能形,かのうけい,potential form,,
同様に,どうように,identically,,
名詞,めいし,noun,,
否定,ひてい,denial,,
命令形,めいれいけい,imperative form ,,
地域,ちいき,region,,
基本的,きほんてき,basic,,
場面,ばめん,scene,,
変格動詞,へんかくどうし,irregularity,,
学習,がくしゅう,learning,,
完了,かんりょう,completion,,
実情,じつじょう,real condition,,
実際,じっさい, reality,,
対して,たいして,in regards,,
尊重,そんちょう,respect,,
尋ねる,たずねる,to ask,,
導入,どうにゅう,introduction,,
居間,いま,living room,,
年賀状,ねんがじょう,new years card(joy+shape),,
形,かたち,shape,,
形容動詞,けいようどうし,adj+verb particle(отглагольное прил),,
形容詞,けいようし,adjective(shape+contain),,
応答,おうとう,response,,
思われる,おもわれる,it seems,,
意向,いこう,idea/intention,,
感想,かんそう,impression,,
慣れる,なれる,to get accustomed,,
手段,しゅだん,means,,
指の独立,ゆびのどくりつ,finger indep,,
指導,しどう,guidance,,
指示,しじ,indication,,
挨拶,あいさつ,greeting,,
授受,じゅじゅ,giving and receiving,,
接続,せつぞく,connection,,
接続詞,せつぞくし,conjunction (touch+continue),,
揃える,そろえる,to arrange,,
提出,ていしゅつ,presentation,,
揶揄う,からかう,to make fun of,,
教材,きょうざい,learning mat,,
教育,きょういく,Education,,
敬語,けいご,polite language,,
断る,ことわる,to refuse,,
新出語,しんしゅつご,word first time appearing ,,
未然形,みぜんけい,negative form(un+nature),,
歓談,かんだん,pleasant talk,,
母国語,ぼこくご,native country languge,,
母語,ぼご,native lang,,
求める,もとめる,to wish for,,
活用,かつよう,conjugation(active+use),,
活用動詞,かつようどうし,Grammatical conjugation ,,
渡す,わたす,to hand over,,
準備,じゅんび,preparation,,
用いる,もらいる,to use ,,
用法,ようほう,rules of use,,
目的語,もくてきご,object  ,,
相当,そうとう,correspond,,
省略,しょうりゃく,Ellipsis (linguistics)​,,
確認,かくにん,confirmation,,
示す,しめす,to indicate,,
程度,ていど,degree,,
終止形,しゅうしけい,plain form(end+stop),,
組織,そしき,organized(assoc+weave),,
絵教材,えきょうざい,picture+teaching materials,,
練習の際,れんしゅうのさい,when practice,,
繋がり,つながり,connection,,
習う,ならう,to receive a lesson = もらう,,
肯定,こうてい,affirmitive,,
自動詞,じどうし,intr verb,,
行き先,いきさき,destination,,
行為,こうい,deed,,
解説,かいせつ,commentary,,
訪問,ほうもん,visit,,
訪問先,ほうもんさき,destination,,
設定,せってい,setting,,
評価,ひょうか,assessment(judgement),,
誘う,さそう,to invite,,
誤解,ごかい,misunderstanding,,
辞する,じする,to take leave,,
辞示,じじ,show end of(talk),,
述語,じゅつご,predicate*(to declare+lang),,
逆,ぎゃく,reverse assessment(A but also B),,
通す,とおす,to force through,,
連用形,れんようけい,continuative form(take along+use),,
過去,かこ,past,,
静か,しずか,quiet(place),,
順番,じゅんばん,turn,,
