Question,Answers,Comment,Instructions,Render as
一般的,いっぱんてき,typical,,
与える,あたえる,to give,,
両者,りょうしゃ,both persons,,
主題,しゅだい,theme(music),,
互いに,たがいに,each other,,
住まい,すまい,dwelling,,
入れ替える,いれかえる,to replace(re+),,
共に,ともに,to do together,,
動かす,うごかす,to move(tr),,
動作,どうさ,movements,,
勧める,すすめる,to offer,,
参照,さんしょう,reference(in dict),,
同様に,どうように,identically,,
否定,ひてい,denial,,
地域,ちいき,region,,
場面,ばめん,scene,,
学習,がくしゅう,learning,,
完了,かんりょう,completion,,
実情,じつじょう,real condition,,
実際,じっさい, reality,,
尊重,そんちょう,respect,,
尋ねる,たずねる,to ask,,
導入,どうにゅう,introduction,,
居間,いま,living room,,
年賀状,ねんがじょう,new years card(joy+shape),,
応答,おうとう,response,,
意向,いこう,idea/intention,,
感想,かんそう,impression,,
慣れる,なれる,to get accustomed,,
手段,しゅだん,means,,
指の独立,ゆびのどくりつ,finger indep,,
指導,しどう,guidance,,
指示,しじ,indication,,
挨拶,あいさつ,greeting,,
授受,じゅじゅ,giving and receiving,,
接続,せつぞく,connection,,
揃える,そろえる,to arrange,,
提出,ていしゅつ,presentation,,
揶揄う,からかう,to make fun of,,
教材,きょうざい,learning mat,,
敬語,けいご,polite language,,
断る,ことわる,to refuse,,
新出語,しんしゅつご,word first time appearing ,,
歓談,かんだん,pleasant talk,,
母国語,ぼこくご,native country languge,,
求める,もとめる,to wish for,,
渡す,わたす,to hand over,,
用いる,もらいる,to use ,,
用法,ようほう,rules of use,,
目的語,もくてきご,object  ,,
相当,そうとう,correspond,,
確認,かくにん,confirmation,,
示す,しめす,to indicate,,
組織,そしき,organized(assoc+weave),,
絵教材,えきょうざい,picture+teaching materials,,
練習の際,れんしゅうのさい,when practice,,
繋がり,つながり,connection,,
肯定,こうてい,affirmitive,,
行き先,いきさき,destination,,
行為,こうい,deed,,
解説,かいせつ,commentary,,
訪問,ほうもん,visit,,
訪問先,ほうもんさき,destination,,
設定,せってい,setting(premade),,
評価,ひょうか,assessment(judgement),,
誘う,さそう,to invite,,
誤解,ごかい,misunderstanding,,
辞する,じする,to take leave,,
辞示,じじ,show end of(talk),,
逆,ぎゃく,reverse assessment(A but also B),,
過去,かこ,past,,
静か,しずか,quiet(place),,
順番,じゅんばん,turn,,
文章,ぶんしょう,sentence(sentence+compose),,
関係,かんけい,relation(conn+conn),,
自宅,じたく,own house,,
距離,きょり,distance(long dist+detach),,
商品,しょうひん,products(sell+goods),,
感謝,かんしゃ,gratitude(emo+appologize),,
迎える,むかえる,to go to meet,,
散歩,さんぽ,to walk(scatter+walk),,
移動,いどう,movement(move+move),,
通過,つうか,passing through(pass+overdo),,
話し手,はなして,speaker,,
聞き手,ききて,listener,,
第三者,だいさんしゃ,3rd party,,
交える,まじえる,to mix(include),,
止める,とめる,to stop(tr),,
既習,きしゅう,already learned(prev+learn),,
欄,らん,section(newspaper),,
以降,いこう,onwards,,
収録,しゅうろく,recording(audio),,
整理,せいり,arrangement(sorting),,
留意点,りゅういてん,points to remember,,
