Question,Answers,Comment,Instructions,Render as
影,えい,影,shadow,
順,じゅん,順,obey,
引,いん,引,pull,
非,ひ,非,negative,
審,しん,審,examine,
夢,む,夢,dream,
愛,あい,愛,love,
来,らい,来,come,
時,じ,時,time,
交,こう,交,mix,
無,む,無,nothing,
暗,あん,暗,dark,
御,ご,御,honorable,
暇,か,暇,spare time,
表,ひょう,表,express,
灰,はい,灰,ashes,
卓,たく,卓,eminent,
番,ばん,番,one's turn,
直,ちょく,直,straight,
土,ど,土,soil,
装,そう,装,attire,
我,が,我,ego,
修,しゅう,修,discipline,
球,きゅう,球,sphere,
食,しょく,食,eat,
得,とく,得,acquire,
差,さ,差,distinction,
望,ぼう,望,hope,
吸,きゅう,吸,suck,
飛,ひ,飛,fly,
夫,ふ,夫,husband,
真,しん,真,true,
痛,つう,痛,pain,
海,かい,海,sea,
切,せつ,切,cut,
子,し,子,child,
万,まん,万,ten thousand,
倒,とう,倒,overthrow,
就,しゅう,就,concerning,
点,てん,点,point,
画,が,画,brush-stroke,
産,さん,産,give birth,
博,はく,博,Dr.,
満,まん,満,full,
筆,ひつ,筆,writing brush,
屋,おく,屋,roof,
話,わ,話,talk,
舞,ぶ,舞,dance,
根,こん,根,root,
視,し,視,look at,
影順引非,えいじゅんいんひ,影順引非,,
審夢愛来,しんむあいらい,審夢愛来,,
時交無暗,じこうむあん,時交無暗,,
御暇表灰,ごかひょうはい,御暇表灰,,
卓番直土,たくばんちょくど,卓番直土,,
装我修球,そうがしゅうきゅう,装我修球,,
食得差望,しょくとくさぼう,食得差望,,
吸飛夫真,きゅうひふしん,吸飛夫真,,
痛海切子,つうかいせつし,痛海切子,,
万倒就点,まんとうしゅうてん,万倒就点,,
画産博満,がさんはくまん,画産博満,,
筆屋話舞,ひつおくわぶ,筆屋話舞,,
根視,こんし,根視,,
常,じょう,常,normal,
週,しゅう,週,week,
金,きん,金,gold,
除,じょ,除,exclude,
冷,れい,冷,cool,
空,くう,空,sky,
組,そ,組,association,
減,げん,減,decrease,
隊,たい,隊,group,
逮,たい,逮,apprehend,
記,き,記,write down,
玄,げん,玄,mysterious,
選,せん,選,choose,
多,た,多,many,
功,こう,功,achievement,
賛,さん,賛,approve,
婦,ふ,婦,lady,
首,しゅ,首,neck,
近,きん,近,near,
提,てい,提,present,
了,りょう,了,finish,
式,しき,式,style,
値,ち,値,value,
深,しん,深,deep,
借,しゃく,借,borrow,
医,い,医,doctor,
許,きょ,許,permit,
行,こう,行,go,
費,ひ,費,expense,
色,しき,色,color,
住,じゅう,住,dwelling,
絶,ぜつ,絶,discontinue,
然,ぜん,然,so,
別,べつ,別,separate,
招,しょう,招,beckon,
会,かい,会,association,
翻,ほん,翻,flip,
最,さい,最,most,
右,う,右,right,
票,ひょう,票,ballot,
士,し,士,gentleman,
請,せい,請,solicit,
限,げん,限,limit,
工,こう,工,craft,
学,がく,学,study,
平,へい,平,flat,
野,や,野,field,
保,ほ,保,preserve,
水,すい,水,water,
評,ひょう,評,evaluate,
常週金除,じょうしゅうきんじょ,常週金除,,
冷空組減,れいくうそげん,冷空組減,,
隊逮記玄,たいたいきげん,隊逮記玄,,
選多功賛,せんたこうさん,選多功賛,,
婦首近提,ふしゅきんてい,婦首近提,,
了式値深,りょうしきちしん,了式値深,,
借医許行,しゃくいきょこう,借医許行,,
費色住絶,ひしきじゅうぜつ,費色住絶,,
然別招会,ぜんべつしょうかい,然別招会,,
翻最右票,ほんさいうひょう,翻最右票,,
士請限工,しせいげんこう,士請限工,,
学平野保,がくへいやほ,学平野保,,
水評,すいひょう,水評,,
冗,じょう,冗,superfluous,
年,ねん,年,year,
停,てい,停,halt,
際,さい,際,occasion,
健,けん,健,healthy,
準,じゅん,準,standard,
衣,い,衣,clothes,
死,し,死,death,
戦,せん,戦,war,
汽,き,汽,steam,
造,ぞう,造,create,
激,げき,激,violent,
務,む,務,duty,
意,い,意,idea,
確,かく,確,certain,
郵,ゆう,郵,mail,
割,かつ,割,divide,
体,たい,体,body,
給,きゅう,給,salary,
伝,でん,伝,transmit,
迎,げい,迎,welcome,
服,ふく,服,clothes,
豪,ごう,豪,overpowering,
立,りつ,立,stand up,
専,せん,専,specialty,
便,べん,便,convenience,
慢,まん,慢,ridicule,
労,ろう,労,labour,
主,しゅ,主,master,
言,げん,言,say,
裕,ゆう,裕,abundant,
援,えん,援,aid,
電,でん,電,electricity,
館,かん,館,public building,
有,ゆう,有,have,
報,ほう,報,report,
似,じ,似,becoming,
優,ゆう,優,superior,
椅,い,椅,chair,
院,いん,院,institution,
整,せい,整,put in order,
徳,とく,徳,benevolence,
更,こう,更,grow late,
抗,こう,抗,confront,
民,みん,民,people,
働,どう,働,work,
目,もく,目,eye,
休,きゅう,休,rest,
義,ぎ,義,righteousness,
処,しょ,処,dispose,
冗年停際,じょうねんていさい,冗年停際,,
健準衣死,けんじゅんいし,健準衣死,,
戦汽造激,せんきぞうげき,戦汽造激,,
務意確郵,むいかくゆう,務意確郵,,
割体給伝,かつたいきゅうでん,割体給伝,,
迎服豪立,げいふくごうりつ,迎服豪立,,
専便慢労,せんべんまんろう,専便慢労,,
主言裕援,しゅげんゆうえん,主言裕援,,
電館有報,でんかんゆうほう,電館有報,,
似優椅院,じゆういいん,似優椅院,,
整徳更抗,せいとくこうこう,整徳更抗,,
民働目休,みんどうもくきゅう,民働目休,,
義処,ぎしょ,義処,,
亡,ぼう,亡,deceased,
置,ち,置,put,
害,がい,害,harm,
困,こん,困,become distressed,
任,にん,任,responsibility,
政,せい,政,politics,
企,き,企,plan,
製,せい,製,manufacture,
物,ぶつ,物,thing,
掃,そう,掃,sweep,
書,しょ,書,write,
機,き,機,machine,
疑,ぎ,疑,doubt,
午,ご,午,noon,
放,ほう,放,release,
難,なん,難,difficult,
板,はん,板,board,
夜,や,夜,night,
未,み,未,not yet,
当,とう,当,hit,
契,けい,契,pledge,
能,のう,能,ability,
才,さい,才,genius,
術,じゅつ,術,art,
慣,かん,慣,accustomed,
法,ほう,法,method,
送,そう,送,send,
通,つう,通,pass through,
拝,はい,拝,worship,
祖,そ,祖,ancestor,
基,き,基,foundation,
幸,こう,幸,happiness,
面,めん,面,face,
粧,しょう,粧,cosmetics,
連,れん,連,take along,
憩,けい,憩,recess,
囲,い,囲,surround,
営,えい,営,manage,
用,よう,用,use,
部,ぶ,部,part,
港,こう,港,harbor,
帰,き,帰,return,
勢,せい,勢,power,
和,わ,和,peace,
弁,べん,弁,valve,
種,しゅ,種,kind,
味,み,味,flavor,
央,おい,央,center,
免,めん,免,excuse,
科,か,科,section,
亡置害困,ぼうちがいこん,亡置害困,,
任政企製,にんせいきせい,任政企製,,
物掃書機,ぶつそうしょき,物掃書機,,
疑午放難,ぎごほうなん,疑午放難,,
板夜未当,はんやみとう,板夜未当,,
契能才術,けいのうさいじゅつ,契能才術,,
慣法送通,かんほうそうつう,慣法送通,,
拝祖基幸,はいそきこう,拝祖基幸,,
面粧連憩,めんしょうれんけい,面粧連憩,,
囲営用部,いえいようぶ,囲営用部,,
港帰勢和,こうきせいわ,港帰勢和,,
弁種味央,べんしゅみおい,弁種味央,,
免科,めんか,免科,,
座,ざ,座,sit,
歓,かん,歓,delight,
案,あん,案,plan,
険,けん,険,steep,
観,かん,観,observe,
恋,れん,恋,romance,
天,てん,天,heaven,
争,そう,争,conflict,
成,せい,成,become,
馬,ば,馬,horse,
八,はち,八,eight,
求,きゅう,求,request,
助,じょ,助,help,
済,さい,済,settle,
看,かん,看,watch over,
仰,ぎょう,仰,face-up,
典,てん,典,code,
生,せい,生,life,
恐,きょう,恐,fear,
去,きょ,去,leave,
者,しゃ,者,someone,
破,は,破,rend,
日,にち,日,day,
歳,さい,歳,year-end,
集,しゅう,集,collect,
見,けん,見,see,
掲,けい,掲,put up,
素,そ,素,elementary,
在,ざい,在,exist,
本,ほん,本,book,
活,かつ,活,active,
介,かい,介,jammed in,
情,じょう,情,feelings,
論,ろん,論,theory,
月,げつ,月,month,
違,い,違,differ,
突,とつ,突,stab,
他,た,他,other,
両,りょう,両,both,
勝,しょう,勝,win,
糧,りょう,糧,provisions,
外,がい,外,outside,
係,けい,係,person in charge,
穫,かく,穫,harvest,
周,しゅう,周,circumference,
付,ふ,付,attach,
判,はん,判,judge,
店,てん,店,shop,
益,えき,益,benefit,
宿,しゅく,宿,inn,
座歓案険,ざかんあんけん,座歓案険,,
観恋天争,かんれんてんそう,観恋天争,,
成馬八求,せいばはちきゅう,成馬八求,,
助済看仰,じょさいかんぎょう,助済看仰,,
典生恐去,てんせいきょうきょ,典生恐去,,
者破日歳,しゃはにちさい,者破日歳,,
集見掲素,しゅうけんけいそ,集見掲素,,
在本活介,ざいほんかつかい,在本活介,,
情論月違,じょうろんげつい,情論月違,,
突他両勝,とつたりょうしょう,突他両勝,,
糧外係穫,りょうがいけいかく,糧外係穫,,
周付判店,しゅうふはんてん,周付判店,,
益宿,えきしゅく,益宿,,
欠,けつ,欠,lack,
思,し,思,think,
収,しゅう,収,take in,
始,し,始,begin,
光,こう,光,ray,
秀,しゅう,秀,excel,
授,じゅ,授,instruct,
奨,しょう,奨,exhort,
計,けい,計,measure,
努,ど,努,toil,
紀,き,紀,chronicle,
員,いん,員,member,
世,せ,世,world,
道,どう,道,road,
軍,ぐん,軍,army,
果,か,果,fruit,
迷,めい,迷,astray,
哲,てつ,哲,philosophy,
校,こう,校,school,
返,へん,返,return,
加,か,加,add,
沢,たく,沢,swamp,
人,じん,人,person,
予,よ,予,in advance,
頃,ころ,頃,times,
験,けん,験,test,
悟,ご,悟,enlightenment,
料,りょう,料,fee,
性,せい,性,gender,
共,きょう,共,together,
条,じょう,条,clause,
神,しん,神,god,
配,はい,配,distribute,
