Question,Answers,Comment,Instructions,Render as
野菜,やさい,vegetable,,
郵便局,ゆうびんきょく,post office,,
明日,あした,tomorrow,,
安心,あんしん,relief,,
以下,いか,less than,,
以外,いがい,with the exception of,,
医学,いがく,medical science,,
豚肉,ぶたにく,pork,,
意見,いけん,opinion,,
以上,いじょう,more than,,
一度,いちど,once,,
売り場,うりば,place where things are sold,,
運転,うんてん,to drive,,
運転手,うんてんしゅ,driver,,
運動,うんどう,to exercise,,
屋上,おくじょう,rooftop,,
会場,かいじょう,assembly hall,,
会話,かいわ,conversation,,
火事,かじ,fire,,
着物,きもの,kimono,,
急行,きゅうこう,express,,
教会,きょうかい,church,,
空気,くうき, atmosphere,,
研究,けんきゅう,research,,
研究室,けんきゅうしつ, laboratory,,
見物,けんぶつ,sightseeing,,
工業,こうぎょう,the manufacturing industry,,
高校,こうこう,high school,,
高校生,こうこうせい,high school student,,
校長,こうちょう,headmaster,,
小鳥,ことり,small bird,,
今度,こんど,next time,,
今夜,こんや,tonight,,
さ来月,さらいげつ,the month after next,,
さ来週,さらいしゅう,the week after next,,
仕方,しかた,method,,
試験,しけん,examination,,
時代,じだい,era,,
下着,したぎ,underwear,,
品物,しなもの,goods,,
社会,しゃかい,society,,
社長,しゃちょう,company president,,
出発,しゅっぱつ,to depart,,
小学校,しょうがっこう,elementary school,,
食事,しょくじ,to have a meal,,
食料品,しょくりょうひん,groceries,,
人口,じんこう,population,,
親切,しんせつ,kindness,,
新聞社,しんぶんしゃ,newspaper company,,
水道,すいどう,water supply,,
西洋,せいよう,western countries,,
世界,せかい,the world,,
大学生,だいがくせい,university student,,
大事,だいじ,important,,
台風,たいふう,typhoon,,
注意,ちゅうい,caution,,
中学校,ちゅうがっこう,junior high school,,
地理,ちり,geography,,
店員,てんいん,shop assistant,,
特別,とくべつ,special,,
特急,とっきゅう,limited express train,,
入学,にゅうがく,to enter school or university,,
発音,はつおん,pronunciation,,
花見,はなみ,cherry-blossom viewing,,
昼間,ひるま,daytime,,
昼休み,ひるやすみ,noon break,,
文学,ぶんがく,literature,,
用意,ようい,preparation,,
用事,ようじ,things to do,,
旅館,りょかん,Japanese hotel,,
切符,きっぷ,ticket,,
医者,いしゃ,medical doctor,,
飛行場,ひこうじょう,airport,,
意味,いみ,meaning,,
入口,いりぐち,entrance,,
部長,ぶちょう,head of a section,,
上着,うわぎ,jacket,,
映画館,えいがかん,cinema,,
連絡,れんらく,to contact,,
音楽,おんがく,music,,
会社,かいしゃ,company,,
趣味,しゅみ,hobby,,
家族,かぞく,family,,
漢字,かんじ,Chinese character,,
切手,きって,postage stamp,,
牛肉,ぎゅうにく,Beef,,
教室,きょうしつ,Classroom,,
兄弟,きょうだい,(humble) siblings,,
去年,きょねん,last year,,
銀行,ぎんこう,bank,,
今朝,けさ,this morning,,
月曜日,げつようび,Monday,,
課長,かちょう,section manager,,
説明,せつめい,explanation,,
今週,こんしゅう,this week,,
作文,さくぶん,written composition,,
試合,しあい,match game,,
質問,しつもん,question,,
自転車,じてんしゃ,bicycle,,
自動車,じどうしゃ,automobile,,
写真,しゃしん,photograph,,
上手,じょうず,skillful,,
食堂,しょくどう,dining hall,,
新聞,しんぶん,newspaper,,
先週,せんしゅう,last week,,
大使館,たいしかん,embassy,,
大切,たいせつ,important,,
建物,たてもの,building,,
地図,ちず,map,,
茶色,ちゃいろ,brown,,
手紙,てがみ,letter,,
出口,でぐち,exit,,
動物,どうぶつ,animal,,
時計,とけい,clock,,
図書館,としょかん,library,,
夏休み,なつやすみ,summer holiday,,
興味,きょうみ,interest in something,,
背中,せなか,back of body,,
病院,びょういん,hospital,,
病気,びょうき,illness,,
下手,へた,unskillful,,
勉強,べんきょう,to study,,
毎朝,まいあさ,every morning,,
毎週,まいしゅう,every week,,
紹介,しょうかい,presentation,,
約束,やくそく,promise,,
問題,もんだい,problem,,
簡単,かんたん,simple,,
夕方,ゆうがた,evening,,
夕飯,ゆうはん,dinner,,
有名,ゆうめい,famous,,
洋服,ようふく,western-style clothes,,
来週,らいしゅう,next week,,
料理,りょうり,cuisine,,
旅行,りょこう,travel,,
ご主人,ごしゅじん,her husband,,
事故,じこ,accident,,
二階建て,にかいだて,two-storied building,,
交通,こうつう,traffic,,
番組,ばんぐみ,program (e.g. TV),,
生活,せいかつ,living activity,,
片付ける,かたづける,to tidy up,,
漫画,まんが,comic,,
先輩,せんぱい,senior (at work or school),,
具合,ぐあい,condition,,
動物園,どうぶつえん,zoo,,
十分,じゅうぶん,enough,,
卒業,そつぎょう,completion (e.g. of a course),,
危険,きけん,danger,,
普通,ふつう,ordinary,,
地震,じしん,earthquake,,
場所,ばしょ,place,,
消しゴム,けしごむ,eraser,,
安全,あんぜん,safety,,
将来,しょうらい,future (usually near),,
小説,しょうせつ,short story,,
布団,ふとん,futon,,
気分,きぶん,feeling; mood,,
彼女,かのじょ,girlfriend,,
復習,ふくしゅう,review,,
息子,むすこ,son,,
手伝う,てつだう,to assist,,
手袋,てぶくろ,glove,,
指輪,ゆびわ,(finger) ring,,
故障,こしょう,breakdown,,
歴史,れきし,history,,
数学,すうがく,mathematics,,
文化,ぶんか,culture,,
日記,にっき,diary,,
