Question,Answers,Comment,Instructions,Render as
体,たい,体 body,,
仕,し,仕 do,,
二,に,二 two,,
三,さん,三 three,,
利,り,利 profit,,
一,いち,一 one,,
再,さい,再 again,,
両,りょう,両 both,,
会,かい,会 association,,
別,べつ,別 separate,,
六,ろく,六 six,,
入,にゅう,入 enter,,
典,てん,典 code,,
上,じょう,上 up,,
丁,てい,丁 ward,,
中,ちゅう,中 middle,,
係,けい,係 person in charge,,
人,じん,人 person,,
下,か,下 below,,
事,じ,事 abstract thing,,
休,きゅう,休 rest,,
具,ぐ,具 tool,,
以,い,以 by means of,,
切,せつ,切 cut,,
争,そう,争 conflict,,
内,ない,内 inside,,
何,か,何 what,,
七,しち,七 seven,,
不,ふ,不 non-,,
世,せ,世 world,,
冷,れい,冷 cool,,
全,ぜん,全 whole,,
到,とう,到 arrival,,
八,はち,八 eight,,
分,ぶん,分 part,,
交,こう,交 mix,,
便,べん,便 convenience,,
公,こう,公 public,,
今,こん,今 now,,
備,び,備 provide,,
万,まん,万 ten thousand,,
九,きゅう,九 nine,,
介,かい,介 jammed in,,
五,ご,五 five,,
予,よ,予 in advance,,
初,しょ,初 first,,
値,ね,値 value,,
円,えん,円 round,,
代,たい,代 substitute,,
出,しゅつ,出 exit,,
八便典下再全,はちべんてんかさいぜん,八便典下再全 ,,
三具介公事代,さんぐかいこうじたい,三具介公事代 ,,
七備六今値円,しちびろくこんねえん,七備六今値円 ,,
万中会不入到,まんちゅうかいふにゅうとう,万中会不入到 ,,
内休分予仕冷,ないきゅうぶんよしれい,内休分予仕冷 ,,
係上以一体別,けいじょういいちたいべつ,係上以一体別 ,,
丁両二争人利,ていりょうにそうじんり,丁両二争人利 ,,
世初何出五交,せしょかしゅつごこう,世初何出五交 ,,
体仕二三,たいしにさん,体仕二三 ,,
利一再両,りいちさいりょう,利一再両 ,,
会別六入,かいべつろくにゅう,会別六入 ,,
典上丁中,てんじょうていちゅう,典上丁中 ,,
係人下事,けいじんかじ,係人下事 ,,
休具以切,きゅうぐいせつ,休具以切 ,,
争内何七,そうないかしち,争内何七 ,,
不世冷全,ふせれいぜん,不世冷全 ,,
到八分交,とうはちぶんこう,到八分交 ,,
便公今備,べんこうこんび,便公今備 ,,
万九介五,まんきゅうかいご,万九介五 ,,
予初値円,よしょねえん,予初値円 ,,
品,ひん,品 article,,
合,ごう,合 fit,,
友,ゆう,友 friend,,
北,ほか,北 north,,
好,こう,好 like,,
則,そく,則 rule,,
外,がい,外 outside,,
半,はん,半 half,,
命,めい,命 fate,,
女,じょ,女 woman,,
土,ど,土 soil,,
因,いん,因 cause,,
堂,どう,堂 public chamber,,
医,い,医 doctor,,
前,ぜん,前 in front,,
卒,そつ,卒 graduate,,
嘩,か,嘩 ,,
台,たい,台 pedestal,,
十,じゅう,十 ten,,
原,げん,原 field,,
味,み,味 flavor,,
地,ち,地 ground,,
告,こく,告 tell,,
天,てん,天 heaven,,
危,き,危 dangerous,,
報,ほう,報 report,,
員,いん,員 member,,
動,どう,動 move,,
千,せん,千 thousand,,
午,ご,午 noon,,
夜,や,夜 night,,
団,だん,団 group,,
婦,ふ,婦 lady,,
国,こく,国 country,,
大,だい,大 large,,
口,こう,口 mouth,,
喧,けん,喧 ,,
園,えん,園 garden,,
史,し,史 history,,
四,し,四 four,,
務,む,務 duty,,
南,なん,南 south,,
右,う,右 right,,
反,はん,反 anti-,,
単,たん,単 simple,,
失,しつ,失 lose,,
噌,そ,噌 ,,
場,じょう,場 place,,
名,めい,名 name,,
夢,む,夢 dream,,
国喧堂十外団,こくけんどうじゅうがいだん,国喧堂十外団 ,,
北地右園原名,ほかちうえんげんめい,北地右園原名 ,,
動四土史噌場,どうしどしそじょう,動四土史噌場 ,,
