Question,Answers,Comment,Instructions,Render as
絡,entwine,絡 entwine,,
係,person in charge,係 person in charge,,
普,universal,普 universal,,
口,mouth,口 mouth,,
紹,introduce,紹 introduce,,
両,both,両 both,,
義,righteousness,義 righteousness,,
用,use,用 use,,
仕,do,仕 do,,
分,part,分 part,,
慣,accustomed,慣 accustomed,,
休,rest,休 rest,,
急,hurry,急 hurry,,
万,ten thousand,万 ten thousand,,
我,ego,我 ego,,
山,mountain,山 mountain,,
活,active,活 active,,
輩,comrade,輩 comrade,,
来,come,来 come,,
無,nothing,無 nothing,,
着,wear,着 wear,,
家,house,家 house,,
紙,paper,紙 paper,,
節,node,節 node,,
室,room,室 room,,
女,woman,女 woman,,
後,behind,後 behind,,
八,eight,八 eight,,
宿,inn,宿 inn,,
由,reason,由 reason,,
簡,simplicity,簡 simplicity,,
父,father,父 father,,
二,two,二 two,,
火,fire,火 fire,,
復,again,復 again,,
指,finger,指 finger,,
科,section,科 section,,
関,related,関 related,,
電,electricity,電 electricity,,
遠,far,遠 far,,
金,gold,金 gold,,
輪,wheel,輪 wheel,,
婦,lady,婦 lady,,
別,separate,別 separate,,
所,place,所 place,,
返,return,返 return,,
事,abstract thing,事 abstract thing,,
本,book,本 book,,
競,compete,競 compete,,
空,sky,空 sky,,
史,history,史 history,,
会,association,会 association,,
注,pour,注 pour,,
残,remainder,残 remainder,,
房,tassel,房 tassel,,
間,interval,間 interval,,
対,opposite,対 opposite,,
育,nurture,育 nurture,,
物,thing,物 thing,,
務,duty,務 duty,,
険,precipitous,険 precipitous,,
常,normal,常 normal,,
運,carry,運 carry,,
泳,swim,泳 swim,,
歴,curriculum,歴 curriculum,,
警,guard against,警 guard against,,
歯,tooth,歯 tooth,,
則,rule,則 rule,,
政,politics,政 politics,,
故,circumstances,故 circumstances,,
懸,suspend,懸 suspend,,
約,promise,約 promise,,
将,leader,将 leader,,
何,what,何 what,,
道,road,道 road,,
相,mutual,相 mutual,,
員,member,員 member,,
季,seasons,季 seasons,,
館,public building,館 public building,,
業,business,業 business,,
五,five,五 five,,
術,art,術 art,,
洋,ocean,洋 ocean,,
天,heaven,天 heaven,,
前,in front,前 in front,,
以,by means of,以 by means of,,
動,move,動 move,,
丁,ward,丁 ward,,
念,thought,念 thought,,
究,research,究 research,,
敗,failure,敗 failure,,
時,time,時 time,,
準,standard,準 standard,,
十,ten,十 ten,,
港,harbor,港 harbor,,
段,steps,段 steps,,
堂,public chamber,堂 public chamber,,
際,occasion,際 occasion,,
今,now,今 now,,
不,non-,不 non-,,
合,fit,合 fit,,
線,line,線 line,,
見,see,見 see,,
雨,rain,雨 rain,,
送,send,送 send,,
因,cause,因 cause,,
興,entertain,興 entertain,,
海,sea,海 sea,,
界,world,界 world,,
意,idea,意 idea,,
画,brush-stroke,画 brush-stroke,,
毎,every,毎 every,,
代,substitute,代 substitute,,
北,north,北 north,,
暖,warmth,暖 warmth,,
男,male,男 male,,
貿,trade,貿 trade,,
便,convenience,便 convenience,,
退,retreat,退 retreat,,
高,tall,高 tall,,
特,special,特 special,,
国,country,国 country,,
旅,trip,旅 trip,,
介,jammed in,介 jammed in,,
