Question,Answers,Comment,Instructions,Render as
一,いち,一,,
七,なな,七,,
三,みつ,三,,
上,じょう,上,,
下,か,下,,
世,せ,世,,
中,ちゅう,中,,
主,しゅ,主,,
九,きゅう,九,,
事,じ,事,,
二,に,二,,
五,ご,五,,
交,こう,交,,
人,じん,人,,
今,こん,今,,
介,かい,介,,
仕,し,仕,,
付,ふ,付,,
代,だい,代,,
以,い,以,,
休,きゅう,休,,
会,かい,会,,
伝,でん,伝,,
作,さく,作,,
使,し,使,,
便,べん,便,,
元,げん,元,,
兄,きょう,兄,,
先,せん,先,,
入,にゅう,入,,
全,ぜん,全,,
八,はち,八,,
六,ろく,六,,
具,ぐ,具,,
円,えん,円,,
写,しゃ,写,,
出,しゅつ,出,,
分,ぶん,分,,
切,せつ,切,,
別,べつ,別,,
前,ぜん,前,,
勉,きょう,勉,,
動,どう,動,,
化,か,化,,
医,い,医,,
十,じゅう,十,,
午,ご,午,,
卒,そつ,卒,,
単,か,単,,
危,き,危,,
去,きょ,去,,
友,とも,友,,
口,こう,口,,
台,たい,台,,
史,し,史,,
合,あい,合,,
名,めい,名,,
味,み,味,,
品,ひん,品,,
員,いん,員,,
問,もん,問,,
四,よん,四,,
団,だん,団,,
図,ず,図,,
国,こく,国,,
園,えん,園,,
土,ど,土,,
地,ち,地,,
堂,どう,堂,,
場,じょう,場,,
売,ばい,売,,
夏,か,夏,,
夕,ゆう,夕,,
外,がい,外,,
夜,や,夜,,
大,だい,大,,
天,てん,天,,
女,じょ,女,,
子,こ,子,,
字,じ,字,,
学,がく,学,,
安,あん,安,,
室,しつ,室,,
家,か,家,,
将,しょう,将,,
小,こ,小,,
局,きょく,局,,
屋,おく,屋,,
工,こう,工,,
布,ふ,布,,
年,ねん,年,,
店,てん,店,,
度,ど,度,,
建,たて,建,,
弟,だい,弟,,
強,きょう,強,,
彼,かの,彼,,
後,ご,後,,
徒,と,徒,,
復,ふく,復,,
心,しん,心,,
急,きゅう,急,,
息,そく,息,,
意,い,意,,
所,しょ,所,,
手,て,手,,
指,し,指,,
教,きょう,教,,
数,すう,数,,
文,ぶん,文,,
料,りょう,料,,
新,しん,新,,
方,かた,方,,
旅,りょ,旅,,
族,ぞく,族,,
日,にち,日,,
明,めい,明,,
映,えい,映,,
昼,ちゅう,昼,,
時,じ,時,,
普,ふ,普,,
曜,よう,曜,,
書,しょ,書,,
月,げつ,月,,
有,ゆう,有,,
服,ふく,服,,
朝,ちょう,朝,,
木,もく,木,,
束,そく,束,,
来,らい,来,,
校,こう,校,,
業,ぎょう,業,,
楽,がく,楽,,
歴,れき,歴,,
毎,まい,毎,,
気,き,気,,
水,すい,水,,
注,ちゅう,注,,
洋,よう,洋,,
活,かつ,活,,
消,しょう,消,,
漢,かん,漢,,
漫,まん,漫,,
火,か,火,,
片,かた,片,,
牛,ぎゅう,牛,,
物,ぶつ,物,,
特,べつ,特,,
理,り,理,,
生,せい,生,,
用,よう,用,,
男,だん,男,,
画,が,画,,
界,かい,界,,
番,ばん,番,,
病,びょう,病,,
発,はつ,発,,
真,しん,真,,
着,き,着,,
研,けん,研,,
社,しゃ,社,,
究,きゅう,究,,
空,くう,空,,
符,ふ,符,,
簡,かん,簡,,
約,,やく,約,,
紙,し,紙,,
紹,しょう,紹,,
組,くみ,組,,
絡,らく,絡,,
習,しゅう,習,,
者,しゃ,者,,
聞,ぶん,聞,,
肉,にく,肉,,
背,はい,背,,
自,じ,自,,
興,きょう,興,,
色,いろ,色,,
花,か,花,,
英,えい,英,,
茶,ちゃ,茶,,
葉,は,葉,,
行,こう,行,,
袋,ふくろ,袋,,
西,せい,西,,
見,けん,見,,
親,しん,親,,
言,こと,言,,
計,けい,計,,
記,き,記,,
試,し,試,,
話,わ,話,,
語,ご,語,,
説,せつ,説,,
課,か,課,,
豚,ぶた,豚,,
質,しつ,質,,
趣,しゅ,趣,,
車,しゃ,車,,
車,でん,車,,
転,てん,転,,
輩,はい,輩,,
輪,りん,輪,,
通,つう,通,,
連,れん,連,,
週,しゅう,週,,
運,うん,運,,
道,どう,道,,
達,たち,達,,
部,ぶん,部,,
郵,ゆう,郵,,
野,や,野,,
金,きん,金,,
銀,ぎん,銀,,
長,ちょう,長,,
間,かん,間,,
院,いん,院,,
険,けん,険,,
階,かい,階,,
障,しょう,障,,
電,でん,電,,
震,しん,震,,
音,おん,音,,
題,だい,題,,
風,ふう,風,,
飛,ひ,飛,,
食,しょく,食,,
飯,はん,飯,,
館,かん,館,,
験,けん,験,,
高,こう,高,,
鳥,ちょう,鳥,,

