Question,Answers,Comment,Instructions,Render as
丁,てい,丁 ward,,
再,さ,再 again,,
到,とう,到 arrival,,
則,そく,則 rule,,
動,どう,動 move,,
嘩,か,嘩 ,,
守,しゅ,守 protect,,
寧,ねい,寧 rather,,
将,しょう,将 leader,,
展,てん,展 expand,,
常,じょう,常 normal,,
建,けん,建 build,,
懸,けん,懸 suspend,,
房,ぼう,房 tassel,,
技,ぎ,技 skill,,
拝,はい,拝 worship,,
政,せい,政 politics,,
敗,はい,敗 failure,,
旅,りょ,旅 trip,,
景,けい,景 scenery,,
暖,だん,暖 warmth,,
格,かく,格 status,,
漫,まん,漫 cartoon,,
理,り,理 reason,,
相,そう,相 mutual,,
看,かん,看 watch over,,
科,か,科 section,,
組,そ,組 association,,
絡,らく,絡 entwine,,
護,ご,護 safeguard,,
辞,じ,辞 resign,,
途,と,途 route,,
険,けん,険 precipitous,,
階,かい,階 floor of a building,,
障,しょう,障 hurt,,
雑,ざつ,雑 miscellaneous,,
丁再到則動嘩,ていさとうそくどうか,丁再到則動嘩 ,,
守寧将展常建,しゅねいしょうてんじょうけん,守寧将展常建 ,,
懸房技拝政敗,けんぼうぎはいせいはい,懸房技拝政敗 ,,
旅景暖格漫理,りょけいだんかくまんり,旅景暖格漫理 ,,
相看科組絡護,そうかんかそらくご,相看科組絡護 ,,
辞途険階障雑,じとけんかいしょうざつ,辞途険階障雑 ,,
