Question,Answers,Comment,Instructions,Render as
伝,"でん,transmit",伝,,
郵,"ゆう,mail",郵,,
紙,"し,paper",紙,,
二,"に,two",二,,
売,"ばい,sell",売,,
水,"すい,water",水,,
聞,"ぶん,hear",聞,,
交,"こう,mix",交,,
用,"よう,use",用,,
符,"ふ,token",符,,
趣,"しゅ,essence",趣,,
合,"ごう,fit",合,,
朝,"ちょう,morning",朝,,
女,"じょ,woman",女,,
団,"だん,group",団,,
会,"かい,association",会,,
明,"めい,bright",明,,
下,"か,below",下,,
銀,"ぎん,silver",銀,,
大,"だい,large",大,,
中,"ちゅう,middle",中,,
使,"し,use",使,,
員,"いん,member",員,,
休,"きゅう,rest",休,,
道,"どう,road",道,,
危,"き,dangerous",危,,
運,"うん,carry",運,,
外,"がい,outside",外,,
組,"そ,association",組,,
特,"とく,special",特,,
験,"けん,test",験,,
出,"しゅつ,exit",出,,
風,"ふう,wind",風,,
背,"はい,back",背,,
間,"かん,interval",間,,
勉,"べん,exertion",勉,,
紹,"しょう,introduce",紹,,
毎,"まい,every",毎,,
将,"しょう,leader",将,,
部,"ぶ,part",部,,
彼,"かれ,he",彼,,
家,"か,house",家,,
上,"じょう,up",上,,
入,"にゅう,enter",入,,
族,"ぞく,tribe",族,,
主,"しゅ,master",主,,
長,"ちょう,long",長,,
片,"へん,one-sided",片,,
輪,"りん,wheel",輪,,
消,"しょう,extinguish",消,,
物,"ぶつ,thing",物,,
布,"ふ,linen",布,,
事,"じ,thing",事,,
付,"ふ,attach",付,,
鳥,"ちょう,bird",鳥,,
飯,"はん,meal",飯,,
歴,"れき,curriculum",歴,,
生,"せい,life",生,,
険,"けん,steep",険,,
指,"し,finger",指,,
普,"ふ,universal",普,,
介,"かい,jammed in",介,,
仕,"し,do",仕,,
字,"じ,letter",字,,
花,"か,flower",花,,
袋,"たい,sack",袋,,
震,"しん,quake",震,,
先,"せん,previous",先,,
堂,"どう,public chamber",堂,,
肉,"にく,meat",肉,,
活,"かつ,active",活,,
全,"ぜん,whole",全,,
牛,"ぎゅう,cow",牛,,
親,"しん,parent",親,,
地,"ちち,ground",地,,
卒,"そつ,graduate",卒,,
絡,"らく,entwine",絡,,
発,"はつ,departure",発,,
書,"しょ,write",書,,
所,"しょ,place",所,,
自,"じ,oneself",自,,
飛,"ひ,fly",飛,,
以,"い,by means of",以,,
連,"れん,take along",連,,
去,"きょ,leave",去,,
昼,"ちゅう,daytime",昼,,
火,"か,fire",火,,
味,"み,flavor",味,,
試,"し,test",試,,
単,"たん,simple",単,,
理,"り,reason",理,,
階,"かい,floor",階,,
数,"すう,number",数,,
弟,"てい,younger brother",弟,,
楽,"がく,pleasure",楽,,
質,"しつ,quality",質,,
興,"きゅう,entertain",興,,
文,"ぶん,writing",文,,
時,"じ,time",時,,
行,"こう,go",行,,
豚,"とん,pork",豚,,
業,"ぎょう,business",業,,
名,"めい,name",名,,
病,"びょう,sick",病,,
夕,"ゆう,evening",夕,,
有,"ゆう,have",有,,
究,"きゅう,research",究,,
気,"き,feeling",気,,
方,"ほう,direction",方,,
人,"じん,person",人,,
高,"こう,tall",高,,
学,"がく,study",学,,
車,"しゃ,car",車,,
空,"くう,sky",空,,
局,"きょく,office",局,,
色,"しき,color",色,,
真,"しん,true",真,,
代,"だい,substitute",代,,
食,"しょく,eat",食,,
漫,"まん,cartoon",漫,,
室,"しつ,room",室,,
手,"しゅ,hand",手,,
息,"そく,breath",息,,
西,"せい,west",西,,
曜,"よう,day of the week",曜,,
場,"じょう,place",場,,
漢,"かん,China",漢,,
強,"きょう,strong",強,,
来,"らい,come",来,,
動,"どう,move",動,,
課,"か,section",課,,
輩,"はい,comrade",輩,,
便,"べん,convenience",便,,
束,"そく,bundle",束,,
十,"じゅう,ten",十,,
具,"ぐ,tool",具,,
社,"しゃ,company",社,,
今,"こん,now",今,,
映,"えい,reflect",映,,
問,"もん,question",問,,
見,"けん,see",見,,
屋,"おく,roof",屋,,
週,"しゅう,week",週,,
着,"ちゃく,wear",着,,
台,"だい,pedestal",台,,
界,"かい,world",界,,
洋,"よう,ocean",洋,,
館,"かん,public building",館,,
品,"ひん,article",品,,
小,"しょう,small",小,,
服,"ふく,clothes",服,,
復,"ふく,again",復,,
