Question,Answers,Comment,Instructions,Render as
木,もく,木,,
金,きん,金,,
三,みつ,三,,
語,ご,語,,
二,に,二,,
子,こ,子,,
月,げつ,月,,
土,ど,土,,
週,しゅう,週,,
気,き,気,,
時,じ,時,,
電,でん,電,,
会,かい,会,,
映,えい,映,,
画,が,画,,
校,こう,校,,
生,せい,生,,
四,よん,四,,
水,すい,水,,
言,こと,言,,
事,し,事,,
火,か,火,,
一,いち,一,,
分,ぶん,分,,
社,しゃ,社,,
徒,と,徒,,
屋,おく,屋,,
元,げん,元,,
男,だん,男,,
八,はち,八,,
葉,は,葉,,
五,ご,五,,
十,じゅう,十,,
九,きゅう,九,,
来,らい,来,,
友,とも,友,,
名,な,名,,
国,こく,国,,
大,だい,大,,
女,じょ,女,,
年,とし,年,,
六,ろく,六,,
午,ご,午,,
外,がい,外,,
車,でん,車,,
部,ぶん,部,,
今,こん,今,,
仕,し,仕,,
間,じ,間,,
英,えい,英,,
学,がく,学,,
天,てん,天,,
先,せん,先,,
達,たち,達,,
後,ご,後,,
前,ぜん,前,,
曜,よう,曜,,
話,わ,話,,
日,にち,日,,
円,えん,円,,
七,なな,七,,
