一連,いちれん,sequence(connect)
事柄,ことがら,matter(thing+pattern)
事項,じこう,matter(thing+item)
以降,いこう,onwards(by means of+descend)
仮定,かてい,assumption(temp+fix)
伴う,ともなう,to accompany intr
促す,うながす,to encourage tr
共有,きょうゆう,sharing(together+posess)
券売機,けんばいき,(ticket selling machine)
前件,ぜんけん,(previous case)
前提,ぜんてい,condition(before+carry in hand)
労り,いたわり, sympathy
勧める,すすめる,to recommend
印象,いんしょう,impression(seal+image)
反対,はんたい,opposite(anti+oppose)
反応,はんのう,reaction(Chemical)
取り立てる,とりたてる,to emphasize
可否,かひ,can or cant
各自,かくじ,each
否定,ひてい,denial(non-fix)
喚起,かんき,arousal(summon+wake)
型,かた,pattern(model)
実情,じつじょう,(reality+the way things really are)
実際,じっさい,(real+case)
対照,たいしょう,contrast(oppose+illuminate)
尊敬,そんけい,(precious+respect)
尊敬語,そんけいご,honor lang(precious+honor)
尊重,そんちょう,respect(precious+heavy)
尋ねる,たずねる,to ask
導く,みちびく,to show the way
導入,どうにゅう,introduction(to a story)
居間,いま,living room(residence+space)
左,ひだり,left
従う,したがう,to follow(to obay)
従属節,じゅうぞくせつ,subordination clause(lesser+genus+joint)
応答,おうとう,reply(respond+solution)
恩恵,おんけい,favor(kind+blessing)
患者,かんじゃ,patient(disease+person)
想定,そうてい,expectation(idea+fix)
意向,いこう,intention
感想,かんそう,impression(feeling+idea)
感謝,かんしゃ,gratitude(emo+appologize)
慣れる,なれる,to get accustomed
成立,せいりつ,formation(become+stand)
所持,しょじ,posession(place+hold)
手段,しゅだん,means(hand+steps)
指導,しどう,guidance(finger+guidance)
指示,しじ,indication
接する,せっする,to be adjacent(itnr)
接続,せつぞく,connection(adjacent+continue)
揃える,そろえる,to arrange
描写,びょうしゃ,depiction(draw+copy)
提出,ていしゅつ,presentation(carry in hands+go out)
提示,ていじ,presentation(carry in hands+show)
握る,にぎる,to grasp tr
揶揄う,からかう,to make fun of
撮影,さつえい,photography(snapshot+shadow)
故郷,ふるさと,hometown(old home)
教材,きょうざい,teaching+materials
散歩,さんぽ,to walk(scatter+walk)
敬語,けいご,honorific language
数個,すうこ,several
数量,すうりょう,quantity
整理,せいり,sorting(organize+logic)
文型,ぶんけい,sentence pattern
文章,ぶんしょう,sentence(sentence+composition)
断る,ことわる,to refuse
方向,ほうこう,Direction
既習,きしゅう,already learned(prev+learn)
時制,じせい,Grammatical tense
時間軸,じかんじく,time axis
暇,ひま,free time
有無,うむ,existence or nonexistence
未習,みしゅう,not yet learned
条件,じょうけん,conditional(clause+case)
板書,ばんしょ,writing on a blackboard
架空,かくう,imaginary(stand+empty)
業務,ぎょうむ,business(business+task)
構成,こうせい,composition(structure+become)
機械,きかい,machine
欄,らん,section(newspaper)
欲求,よっきゅう,desires
歓談,かんだん,pleasant talk
止める,とめる,to stop(tr)
歯科医院,しかいいん,dental clinic
段階,だんかい,phase
母国語,ぼこくご,native country languge
気味,きみ,-like(tendency)
気遣い,きづかい,worry
決定,けってい,decision(decide+fix)
沿う,そう,to follow(the main course)
渡す,わたす,to hand over
漠然,ばくぜん,ambiguous(vague+thing)
無縁,むえん,unrelated(non-affinity)
特徴,とくちょう,feature(spec+sign)
状態,じょうたい,state of something specific
独身,どくしん,Single+person
用いる,もらいる,to use 
用意,ようい,provide smth
用法,ようほう,rules of use
田舎,いなか,rural area
留意,りゅうい,paying attention(stationary point+idea)
留意点,りゅういてん,points to remember
疑問,ぎもん,question(question+question)
