Question,Answers,Comment,Instructions,Render as
to absorb something,きゅうしゅうする,吸収する,,
to accelerate,かそく,加速,,
to access something,あくせす,アクセス,,
to accompany,おともする,「お供する」,,
to act like someone,ふりまう,振り舞う,,
to add numbers up,たす,足す,,
to add something,くわえる,加える,,
to adjust something,ちょうせいする,調整する,,
to affect,えいきょうをおよぼす,「影響を及ぼす」,,
to agree with someone on something,どういする,同意する,,
to align with something,せいりつする,整列する,,
to allow something,きょかする,許可する,,
to analyse something,ぶんせきする,分析する,,
to answer a phone call,こたえる,答える,,
to appear,あらわれる,「が現れる」,,
to approach something,ちかづける,～に近づく,,
to arrange something,せいりする,整理する,,
to arrest someone,たいほする,逮捕する,,
to attach something to something,つける,「～を～に付ける」,,
to attract something,ひきつける,「～を引き付ける」,,
to avoid something,さける,「～を避ける」,,
to be attracted to something,あこがれる,「～にあこがれる」,,
to be confident about something,じしんをもつ,「～について自信を持つ」,,
to be familiar with something,せいつうする,「～に精通する」,,
to be heard,きこえる,「聞こえる」,,
to be in a difficult situation,こまる,[が困る],,
to be piled up,つまれる,積まれる,,
to be similar to something,にる,似る,,
to be stacked up,かさなる,重なる,,
to become sad,かなしくなる,「悲しくなる」,,
to begin something,はじめる,「～を始める」,,
to behave like something,ふりまう,「～のように振る舞う」,,
to believe in something,しんじる,「～を信じる」,,
to bend something,まげる,「～を曲げる」,,
to blame someone,せめる,「誰かを責める」,,
to blink,またたく,「瞬く」,,
to borrow something,かりる,「借りる」,,
to break something,こわす,「～を壊す」,,
to breath,こきゅうする,「呼吸する」,,
to build something,たてる,「～を建てる」,,
to bully someone,いじめる,「誰かをいじめる」,,
to burn something,もやす,「～を燃やす」,,
to burry something,うめる,「～を埋める」,,
to buy something,かう,「買う」,,
to call something,よぶ,「呼ぶ」,,
to capture something,つかまえる,「～を捕まえる」,,
to catch someone,つかまえる,「誰かを捕まえる」,,
to chase someone,おいかける,「誰かを追いかける」,,
to cheer someone up,はげます,励ます,,
to clap,はくしゅする,拍手する,,
to clean something,そうじする,「～を掃除する」,,
to click ,くりっくする,クリックする,,
to close something,とじる,「～を閉じる」,,
to collaborate with someone,きょうりょくする,「誰かと協力する」,,
to come ,くる,「来る」,,
to complicate something,ふくざつにする,「～を複雑にする」,,
to compose something,こうせいする,構成する,,
to compress something,あっしゅくする,圧縮する,,
to condensate ,ぎょうしゅくする,凝縮する,,
to connect with something,せつぞくする,「～に接続する」,,
to conquer something,せいふくする,「～を征服する」,,
to consume something,しょうひする,「～を消費する」,,
to cook,りょうりする,「料理する」,,
to crawl ,はう,「這う」,,
to cross something,よこぎる,「～を横切る」,,
to crouch,しゃがむ,「シャガム」,,
to cry ,なく,「鳴く」,,
to cut something,きる,「切る」,,
to decay,くさる,「腐る」,,
to decelerate,げんそくする,「減速する」,,
to decide on something,きめる,「～を決める」,,
to decompose something,ぶんかいする,「～を分解する」,,
to detach something from something,とりはずす,「取り外す」,,
to dig something out,ほりだす,「～を掘り出す」,,
to disagree with someone,いけんがあわない,「誰かと意見が合わない」,,
to disappear,きえる,「消える」,,
to disconnect from something,せつだんする,「～から切断する」,,
to divide something by,わる,「～で～を割る」,,
to doubt someone,うたがう,「誰かを疑う」,,
to draw something,えがく,「～を描く」,,
to drive something,うんてんする,「～を運転する」,,
to drop something,おとす,「～を落とす」,,
to dry something up,かわかす,「～を乾かす」,,
to eat something,たべる,食べる,,
to emphasize something,きょうちょうする,「～を強調する」,,
to empty something,からにする,「～を空にする」,,
to end something,おえる,「～を終える」,,
to enter somewhere,はいる,「～に入る」,,
to evaporate ,じょうはつする,「蒸発する」,,
to exclude something,のぞく,「除く」,,
to explode,ばくはつする,「爆発する」,,
to express something,あらわす,「～を表す」,,
to fall down rolling,ころがりおちる,転がり落ちる,,
to fall on to something,おちる,「～に落ちる」,,
to fear someone,おそれる,「誰かを恐れる」,,
to feed someone,くわす,「食わす」,,
to feel something,かんじる,「～を感じる」,,
to fight with someone,たたかう,「誰かと戦う」,,
to fill something up,みたす,「～を～で満たす」,,
to find something,みつける,「～を見つける」,,
to fix something,しゅうりする,「～を修理する」,,
to flip something,ひっくりかえす,「ひっくり返す」,,
to flow,ながれる,「流れる」,,
to forget something,わすれる,「～を忘れる」,,
to gather something,あつめる,「～を集める」,,
to gather up,あつまる,集まる,,
to get angry,おこる,怒る,,
to get arrested,たいほされる,「逮捕される」,,
to get broken ,こわれる,「壊れる」,,
to get bullied,いじめられる,「苛められる」,,
to get caught,つかまる,「捕まる」,,
to get dry,かわく,乾く,,
to get empty,からになる,「空になる」,,
to get hit,ぶつかる,「ブツカル」,,
to get hurt ,きずつく,「傷つく」,,
to get influenced by someone,えいきょうをうける,「誰かの影響を受ける」,,
to get lost,まよう,「迷う」,,
to get motivated,しげきをうける,「刺激を受ける」,,
to get punished,ばつをうける,罰を受ける,,
to get rid of something,たいじする,「～を退治する」,,
to get sleepy,ねくなる,「眠くなる」,,
to get something,える,[得る],,
to get tired,つかれる,「疲れる」,,
to get used to,なれる,「慣れる」,,
to give something,さしあげる,「差し上げる」,,
to go out,でかける,「出かける」,,
to grasp,にぎる,「握る」,,
to greet someone,でむかえる,出迎える,,
to grow ,はえる,「生える」,,
to grow something,そだてる,「育てる」,,
to hang,かかる,「掛かる」,,
to happen to pass,とおりかかる,通りかかる,,
to harm someone,きがいをくわえる,「危害を加える」,,
to hear something,みみにする,「耳にする」,,
to heat something up,あたためる,「暖める」,,
to hesitate,まよう,「迷う」,,
to hide something,かくす,「隠す」,,
to hide,かくれる,「隠れる」,,
to hit something,うつ,「打つ」,,
to hold something,もつ,「持つ」,,
to hope for something,ねがう,「何かを願う」,,
to imagine something,そうぞうする,「何かを想像する」,,
to implode,ばくしゅくする,[爆縮する],,
to include something,ふくめる,「含める」,,
to increase something,ふやす,「何か増やす」,,
to increase,ふえる,「増える」,,
to influence someone,えいきょうをあたえる,「影響を与える」,,
to interrogate someone,じんもんする,「尋問する」,,
to itch,むずむずする,ムズムズ,,
to jump over something,とびこえる,「何か飛び越える」,,
to keep in memory,をおぼえる,「を覚える」,,
to knock on something,のっくする,ノックする,,
to laugh,わらう,「笑う」,,
to learn something,まなぶ,「学ぶ」,,
to leave somewhere,しゅっぱつする,「どこかを出発する」,,
to leisure,あそぶ,「遊ぶ」,,
to lent something,かす,「貸す」,,
to lie about something,うそをつく,「嘘をつく」,,
to lie down,よこになる,「横になる」,,
to lift something,もちあげる,「何かを持ち上げる」,,
to liquify something,とかす,「溶かす」,,
to listen to something,きく,「聞く」,,
to look around ,まわりをみまわす,「周りを見回す」,,
to loosen something,ゆるめる,「何かを緩める」,,
to lose something,うしなう,「何かを失う」,,
to lubricate something,じゅんかつゆをぬる,「潤滑油を塗る」,,
to make a stack,つむ,「を積む」,,
to make something dirty,よごす,「何かを汚す」,,
to make something stand,たてる,「を立てる」,,
to make something wet,ぬらす,「何かを濡らす」,,
to make sound ,なる,「鳴る」,,
to measure something,はかる,「測る」,,
to memorize something,おぼえる,「覚える」,,
to mix something together,まぜる,「何かを混ぜる」,,
to move ,うごく,「動く」,,
to move something,うごかす,「動かす」,,
to nod,うなずく,「頷く」,,
to notice something,to notice something,「何が気付く」,,
to obay(to follow),したがう,「従う」,,
to obtain(to get),てにいれる,「手に入れる」,,
to open something,ひらく,「何かを開く」,,
to order something,ちゅうもんする,「～を注文する」,,
to pack something in,つめる,「～を詰める」,,
to paint something,ぬる,「～を塗る」,,
to pass something,わたす,「～を渡す」,,
to pay attention to something,ちゅういをはらう,「～に注意を払う」,,
to pay for something,はらう,「～を払う」,,
to pick something up,ひろう,「～を拾う」,,
to pile something up,つむ,「～を積む」,,
to plant something,うえる,「～を植える」,,
to play music,ひく,「を弾く」,,
to point at something,さす,「何かを指す」,,
to poke at something,つく,「を突く」,,
to polish something,みがく,「を磨く」,,
to possess something,しょゆうする,「所有する」,,
to prepare something,よういする,「何かを用意する」,,
to present something,さしだす,差し出す,,
to press something,なにかをおす,「何か押す」,,
to pretend to be someone,なりすます,「誰かになりすます」,,
to print something,いんさつする,「何かを印刷する」,,
to produce something,せいさんする,[何かを生産する],,
to prohibit,きんしする,「禁止する」,,
to protect,ほごする,「を保護する」,,
to pull something,ひっぽる,「を引っ張る」,,
to punish someone,ばつをあげる,「罰を与える」,,
to push into,おしこむ,「押し込む」,,
to put on a stack,かさねる,「を重ねる」,,
to put on cloth,きる,「を着る」,,
to put something in order,せいりする,「整理する」,,
to question someone,しつもんする,「質問する」,,
to react to something,はんのうする,「を反応する」,,
to read something,よむ,「を読む」,,
to reasearch something,けんきゅうする,[研究する],,
to recall a memory,をおもいだす,「を思い出す」,,
to receive something,うける,「を受ける」,,
to reduce something,へらす,「を減らす」,,
to reflect something,うつす,「を映す」,,
to replace something,くるかえる,「を取り替える」,,
to respect someone,そんけいする,「を尊敬する」,,
to retreat,こうたいする,「後退する」,,
to return home,かえる,「帰る」,,
to return something,もどす,「を戻す」,,
to reverse something,はんてんする,「を反転する」,,
to ride something,のる,「を乗る」,,
to rise something,あげる,「～を上げる」,,
