1,亜,亞,二,7,S,,sub-,あ
2,哀,,口,9,S,,pathetic,あい
3,挨,,手,10,S,2010,push open,あい
4,愛,,心,13,4,,love,あい
5,曖,,日,17,S,2010,not clear,あい
6,悪,惡,心,11,3,,bad,あく
7,握,,手,12,S,,grip,あく
8,圧,壓,土,5,5,,pressure,あつ
9,扱,,手,6,S,,handle,あつかい
10,宛,,宀,8,S,2010,allocate,あて
11,嵐,,山,12,S,2010,storm,あらし
12,安,,宀,6,3,,cheap,あん
13,案,,木,10,4,,plan,あん
14,暗,,日,13,3,,dark,あん
15,以,,人,5,4,,by means of,い
16,衣,,衣,6,4,,clothes,い
17,位,,人,7,4,,rank,い
18,囲,圍,囗,7,5,,surround,い
19,医,醫,酉,7,3,,doctor,い
20,依,,人,8,S,,reliant,い
21,委,,女,8,3,,committee,い
22,威,,女,9,S,,intimidate,い
23,為,爲,爪,9,S,,do,い
24,畏,,田,9,S,2010,fear,い
25,胃,,肉,9,6,,stomach,い
26,尉,,寸,11,S,,military officer,い
27,異,,田,11,6,,uncommon,い
28,移,,禾,11,5,,shift,い
29,萎,,艸,11,S,2010,wither,い
30,偉,,人,12,S,,admirable,い
31,椅,,木,12,S,2010,chair,い
32,彙,,彐,13,S,2010,same kind,い
33,意,,心,13,3,,idea,い
34,違,,辵,13,S,,differ,い
35,維,,糸,14,S,,fiber,い
36,慰,,心,15,S,,compassion,い
37,遺,,辵,15,6,,entrust,い
38,緯,,糸,16,S,,horizontal,い
39,域,,土,11,6,,range,いき
40,育,,肉,8,3,,nurture,いく
41,一,,一,1,1,,one,いち
42,壱,壹,士,7,S,,one,いち
43,逸,逸,辵,11,S,,deviate,いつ
44,茨,,艸,9,4,2010,thorn,いばら
45,芋,,艸,6,S,,potato,いも
46,引,,弓,4,2,,pull,いん
47,印,,卩,6,4,,mark,いん
48,因,,囗,6,5,,cause,いん
49,咽,,口,9,S,2010,throat,いん
50,姻,,女,9,S,,marriage,いん
51,員,,口,10,3,,member,いん
52,院,,阜,10,3,,institution,いん
53,淫,,水,11,S,2010,lewdness,イン
54,陰,,阜,11,S,,shade,いん
55,飲,,食,12,3,,drink,いん
56,隠,隱,阜,14,S,,conceal,いん
57,韻,,音,19,S,,rhyme,いん
58,右,,口,5,1,,right,う
59,宇,,宀,6,6,,eaves,う
60,羽,,羽,6,2,,feather,う
61,雨,,雨,8,1,,rain,う
62,唄,,口,10,S,2010,songs with samisen,うた
63,鬱,,鬯,29,S,2010,gloom,うつ
64,畝,,田,10,S,,groove,うね
65,浦,,水,10,S,,bay,うら
66,運,,辵,12,3,,carry,うん
67,雲,,雨,12,2,,cloud,うん
68,永,,水,5,5,,eternity,えい
69,泳,,水,8,3,,swim,えい
70,英,,艸,8,4,,England,えい
71,映,,日,9,6,,reflect,えい
72,栄,榮,木,9,4,,prosperity,えい
73,営,營,火,12,5,,manage,えい
74,詠,,言,12,S,,recitation,えい
75,影,,彡,15,S,,shadow,えい
76,鋭,,金,15,S,,pointed,えい
77,衛,衞,行,16,5,,defense,えい
78,易,,日,8,5,,easy,えき
79,疫,,疒,9,S,,epidemic,えき
80,益,,皿,10,5,,benefit,えき
81,液,,水,11,5,,fluid,えき
82,駅,驛,馬,14,3,,station,えき
83,悦,,心,10,S,,ecstasy,えつ
84,越,,走,12,S,,cross over,えつ
85,謁,謁,言,15,S,,audience,えつ
86,閲,,門,15,S,,review,えつ
87,円,圓,囗,4,1,,round,えん
88,延,,廴,8,6,,prolong,えん
89,沿,,水,8,6,,run alongside,えん
90,炎,,火,8,S,,inflammation,えん
91,怨,,心,9,S,2010,grudge,えん
92,宴,,宀,10,S,,banquet,えん
93,媛,,女,12,4,2010,princess,えん
94,援,,手,12,S,,aid,えん
95,園,,囗,13,2,,garden,えん
96,煙,,火,13,S,,smoke,えん
97,猿,,犬,13,S,1981,monkey,えん
98,遠,,辵,13,2,,far,えん
99,鉛,,金,13,S,,lead,えん
100,塩,鹽,鹵,13,4,,salt,えん
101,演,,水,14,5,,perform,えん
102,縁,緣,糸,15,S,,affinity,えん
103,艶,艷,色,19,S,2010,glossy,えん
104,汚,,水,6,S,,dirty,お
105,王,,玉,4,1,,king,おう
106,凹,,凵,5,S,1981,concave,おう
107,央,,大,5,3,,center,おい
108,応,應,心,7,5,,respond,おう
109,往,,彳,8,5,,journey,おう
110,押,,手,8,S,,pushed,おう
111,旺,,日,8,S,2010,flourishing,おう
112,欧,歐,欠,8,S,,Europe,おう
113,殴,毆,殳,8,S,,assault,おう
114,桜,櫻,木,10,5,,cherry tree,おう
115,翁,,羽,10,S,,respectable old man,おう
116,奥,奧,大,12,S,,heart,おう
117,横,橫,木,15,3,,side,おう
118,岡,,山,8,4,2010,hill,おか
119,屋,,尸,9,3,,roof,おく
120,億,,人,15,4,,hundred million,おく
121,憶,,心,16,S,,recollection,おく
122,臆,,肉,17,S,2010,self-doubt,おく
123,虞,,虍,13,S,,uneasiness,おそれ
124,乙,,乙,1,S,,the latter,おつ
125,俺,,人,10,S,2010,I,おれ
126,卸,,卩,9,S,,wholesale,おろし
127,音,,音,9,1,,sound,おん
128,恩,,心,10,6,,grace,おん
129,温,溫,水,12,3,,warm,おん
130,穏,穩,禾,16,S,,calm,おん
131,下,,一,3,1,,below,か
132,化,,匕,4,3,,change,か
133,火,,火,4,1,,fire,か
134,加,,力,5,4,,add,か
135,可,,口,5,5,,possible,か
136,仮,假,人,6,5,,temporary,か
137,何,,人,7,2,,what,か
138,花,,艸,7,1,,flower,か
139,佳,,人,8,S,,excellent,カ
140,価,價,人,8,5,,value,か
141,果,,木,8,4,,fruit,か
142,河,,水,8,5,,river,か
143,苛,,艸,8,S,2010,torment,か
144,科,,禾,9,2,,section,か
145,架,,木,9,S,,rack,か
146,夏,,夊,10,2,,summer,か
147,家,,宀,10,2,,house,か
148,荷,,艸,10,3,,luggage,か
149,華,,艸,10,S,,magnificence,か
150,菓,,艸,11,S,,sweets,カ
151,貨,,貝,11,4,,freight,か
152,渦,,水,12,S,1981,whirlpool,か
153,過,,辵,12,5,,go beyond,か
154,嫁,,女,13,S,,bride,よめ
155,暇,,日,13,S,,spare time,か
156,禍,禍,示,13,S,,calamity,か
157,靴,,革,13,S,1981,shoes,か
158,寡,,宀,14,S,,widow,か
159,歌,,欠,14,2,,song,か
160,箇,,竹,14,S,,counters for things,か
161,稼,,禾,15,S,1981,earnings,か
162,課,,言,15,4,,section,か
163,蚊,,虫,10,S,,mosquito,か
164,牙,,牙,4,S,2010,tusk,が
165,瓦,,瓦,5,S,2010,tile,が
166,我,,戈,7,6,,ego,が
167,画,畫,田,8,2,,brush-stroke,が
168,芽,,艸,8,4,,bud,が
169,賀,,貝,12,4,,congratulations,が
170,雅,,隹,13,S,,gracious,が
171,餓,,食,15,S,,starve,が
172,介,,人,4,S,,jammed in,かい
173,回,,囗,6,2,,times,かい
174,灰,,火,6,6,,ashes,はい
175,会,會,曰,6,2,,association,かい
176,快,,心,7,5,,cheerful,かい
177,戒,,戈,7,S,,commandment,かい
178,改,,攴,7,4,,reformation,かい
179,怪,,心,8,S,,suspicious,かい
180,拐,,手,8,S,1981,kidnap,かい
181,悔,悔,心,9,S,,repent,かい
182,海,海,水,9,2,,sea,かい
183,界,,田,9,3,,world,かい
184,皆,,白,9,S,,all,かい
185,械,,木,11,4,,machine,かい
186,絵,繪,糸,12,2,,picture,かい
187,開,,門,12,3,,open,かい
188,階,,阜,12,3,,floor,かい
189,塊,,土,13,S,,chunk,かい
190,楷,,木,13,S,2010,square character style,かい
191,解,,角,13,5,,untie,かい
192,潰,,水,15,S,2010,crush,かい
193,壊,壞,土,16,S,,demolition,かい
194,懐,懷,心,16,S,,pocket,かい
195,諧,,言,16,S,2010,harmony,かい
196,貝,,貝,7,1,,shellfish,かい
197,外,,夕,5,2,,outside,がい
198,劾,,力,8,S,,criminal investigation,がい
199,害,,宀,10,4,,harm,がい
200,崖,,山,11,S,2010,cliff,がい
201,涯,,水,11,S,1981,horizon,がい
202,街,,行,12,4,,street,がい
203,慨,慨,心,13,S,,rue,がい
204,蓋,,艸,13,S,2010,cover,がい
205,該,,言,13,S,,above-stated,がい
206,概,槪,木,14,S,,outline,がい
207,骸,,骨,16,S,2010,dead remains,がい
208,垣,,土,9,S,1981,hedge,かき
209,柿,,木,9,S,2010,persimmon,かき
210,各,,口,6,4,,each,かく
211,角,,角,7,2,,angle,かく
212,拡,擴,手,8,6,,broaden,かく
213,革,,革,9,6,,leather,かく
214,格,,木,10,5,,status,かく
215,核,,木,10,S,,nucleus,かく
216,殻,殼,殳,11,S,1981,husk,かく
217,郭,,邑,11,S,,enclosure,かく
218,覚,覺,見,12,4,,memorize,かく
219,較,,車,13,S,,contrast,かく
220,隔,,阜,13,S,,isolate,かく
221,閣,,門,14,6,,tall,かく
222,確,,石,15,5,,certain,かく
223,獲,,犬,16,S,,seize,かく
224,嚇,,口,17,S,,menacing,かく
225,穫,,禾,18,S,,harvest,かく
226,学,學,子,8,1,,study,がく
227,岳,嶽,山,8,S,,point,がく
228,楽,樂,木,13,2,,pleasure,がく
229,額,,頁,18,5,,amount,がく
230,顎,,頁,18,S,2010,jaw,かく
231,掛,,手,11,S,,hang,かけ
232,潟,,水,15,4,1981,lagoon,かた
233,括,,手,9,S,,fasten,かつ
234,活,,水,9,2,,active,かつ
235,喝,喝,口,11,S,1981,scold,かつ
236,渇,渴,水,11,S,,thirst,かつ
237,割,,刀,12,6,,divide,かつ
238,葛,,艸,12,S,2010,arrowroot,かつ
239,滑,,水,13,S,,slippery,かつ
240,褐,褐,衣,13,S,1981,brown,かつ
241,轄,,車,17,S,,control,かつ
242,且,,一,5,S,,moreover,かつ
243,株,,木,10,6,,stocks,かぶ
244,釜,,金,10,S,2010,kettle,かま
245,鎌,,金,18,S,2010,sickle,かま
246,刈,,刀,4,S,,reap,かる
247,干,,干,3,6,,dry,かん
248,刊,,刀,5,5,,publish,かん
249,甘,,甘,5,S,,sweet,かん
250,汗,,水,6,S,,sweat,かん
251,缶,罐,缶,6,S,1981,tin can,かん
252,完,,宀,7,4,,perfect,かん
253,肝,,肉,7,S,,liver,かん
254,官,,宀,8,4,,government official,かん
255,冠,,冖,9,S,,crown,かん
256,巻,卷,卩,9,6,,scroll,かん
257,看,,目,9,6,,watch over,かん
258,陥,陷,阜,10,S,,collapse,かん
259,乾,,乙,11,S,,dry,かん
260,勘,,力,11,S,,intuition,かん
261,患,,心,11,S,,afflicted,かん
262,貫,,貝,11,S,,pierce,かん
263,寒,,宀,12,3,,cold,かん
264,喚,,口,12,S,,yell,かん
265,堪,,土,12,S,,withstand,かん
266,換,,手,12,S,,interchange,かん
267,敢,,攴,12,S,,daring,かん
268,棺,,木,12,S,,coffin,かん
269,款,,欠,12,S,,goodwill,かん
270,間,,門,12,2,,interval,かん
271,閑,,門,12,S,,leisure,かん
272,勧,勸,力,13,S,,persuade,かん
273,寛,寬,宀,13,S,,tolerant,かん
274,幹,,干,13,5,,tree-trunk,かん
275,感,,心,13,3,,feeling,かん
276,漢,漢,水,13,3,,China,かん
277,慣,,心,14,5,,accustomed,かん
278,管,,竹,14,4,,pipe,かん
279,関,關,門,14,4,,related,かん
280,歓,歡,欠,15,S,,delight,かん
281,監,,皿,15,S,,oversee,かん
282,緩,,糸,15,S,,slacken,かん
283,憾,,心,16,S,,remorse,かん
284,還,,辵,16,S,,send back,かん
285,館,,食,16,3,,public building,かん
286,環,,玉,17,S,,ring,かん
287,簡,,竹,18,6,,simplicity,かん
288,観,觀,見,18,4,,observe,かん
289,韓,,韋,18,S,2010,Korea,かん
290,艦,,舟,21,S,,warship,かん
291,鑑,,金,23,S,,specimen,かん
292,丸,,丶,3,2,,circle,まる
293,含,,口,7,S,,include,がん
294,岸,,山,8,3,,beach,がん
295,岩,,山,8,2,,boulder,がん
296,玩,,玉,8,S,2010,trifle with,かん
297,眼,,目,11,5,,eyeball,がん
298,頑,,頁,13,S,1981,stubborn,かん
299,顔,,頁,18,2,,face,がん
300,願,,頁,19,4,,request,がん
301,企,,人,6,S,,plan,き
302,伎,,人,6,S,2010,deed,き
303,危,,卩,6,6,,dangerous,き
304,机,,木,6,6,,desk,き
305,気,氣,气,6,1,,feeling,き
306,岐,,山,7,4,,branch off,き
307,希,,巾,7,4,,hope,き
308,忌,,心,7,S,,mourning,き
309,汽,,水,7,2,,steam,き
310,奇,,大,8,S,,strange,き
311,祈,祈,示,8,S,,pray,き
312,季,,子,8,4,,seasons,き
313,紀,,糸,9,5,,chronicle,き
314,軌,,車,9,S,,rut,き
315,既,既,无,10,S,,previously,き
316,記,,言,10,2,,write down,き
317,起,,走,10,3,,wake up,き
318,飢,,食,10,S,,hungry,き
319,鬼,,鬼,10,S,,ghost,き
320,帰,歸,止,10,2,,return,き
321,基,,土,11,5,,foundation,き
322,寄,,宀,11,5,,approach,き
323,規,,見,11,5,,rule,き
324,亀,龜,龜,11,S,2010,turtle,き
325,喜,,口,12,5,,rejoice,き
326,幾,,幺,12,S,,how many,き
327,揮,,手,12,6,,brandish,き
328,期,,月,12,3,,period of time,き
329,棋,,木,12,S,,chess piece,き
330,貴,,貝,12,6,,precious,き
