Question,Answers,Comment,Instructions,Render as
連,れん,連,,
片,かた,片,,
注,ちゅう,注,,
輪,りん,輪,,
発,はつ,発,,
主,しゅ,主,,
部,ぶ,部,,
子,こ,子,,
長,ちょう,長,,
日,にち,日,,
紙,し,紙,,
朝,ちょう,朝,,
問,もん,問,,
映,えい,映,,
毎,まい,毎,,
西,せい,西,,
真,しん,真,,
堂,どう,堂,,
外,がい,外,,
二,に,二,,
会,かい,会,,
組,そ,組,,
料,りょう,料,,
仕,し,仕,,
肉,にく,肉,,
洋,よう,洋,,
史,し,史,,
強,きょう,強,,
色,いろ,色,,
兄,きょう,兄,,
習,しゅう,習,,
間,かん,間,,
茶,ちゃ,茶,,
自,じ,自,,
品,ひん,品,,
館,かん,館,,
族,ぞく,族,,
息,そく,息,,
弟,だい,弟,,
具,ぐ,具,,
写,しゃ,写,,
伝,でん,伝,,
階,かい,階,,
簡,かん,簡,,
付,ふ,付,,
鳥,ちょう,鳥,,
休,きゅう,休,,
険,けん,険,,
消,しょう,消,,
有,ゆう,有,,
連片注輪,れんかたちゅうりん,連片注輪,,
発主部子,はつしゅぶこ,発主部子,,
長日紙朝,ちょうにちしちょう,長日紙朝,,
問映毎西,もんえいまいせい,問映毎西,,
真堂外二,しんどうがいに,真堂外二,,
会組料仕,かいそりょうし,会組料仕,,
肉洋史強,にくようしきょう,肉洋史強,,
色兄習間,いろきょうしゅうかん,色兄習間,,
茶自品館,ちゃじひんかん,茶自品館,,
族息弟具,ぞくそくだいぐ,族息弟具,,
写伝階簡,しゃでんかいかん,写伝階簡,,
付鳥休険,ふちょうきゅうけん,付鳥休険,,
消有,しょうゆう,消有,,
転,てん,転,,
員,いん,員,,
建,たて,建,,
験,けん,験,,
文,ぶん,文,,
道,どう,道,,
先,せん,先,,
分,ぶん,分,,
通,つう,通,,
行,こう,行,,
課,か,課,,
単,か,単,,
味,み,味,,
高,こう,高,,
音,おん,音,,
十,じゅう,十,,
夏,か,夏,,
飯,はん,飯,,
用,よう,用,,
急,きゅう,急,,
空,くう,空,,
団,だん,団,,
特,べつ,特,,
水,すい,水,,
別,べつ,別,,
工,こう,工,,
方,かた,方,,
趣,しゅ,趣,,
世,せ,世,,
局,きょく,局,,
切,せつ,切,,
説,せつ,説,,
勉,きょう,勉,,
校,こう,校,,
震,しん,震,,
銀,ぎん,銀,,
度,ど,度,,
学,がく,学,,
女,じょ,女,,
入,にゅう,入,,
旅,りょ,旅,,
去,きょ,去,,
屋,おく,屋,,
場,じょう,場,,
普,ふ,普,,
店,てん,店,,
社,しゃ,社,,
便,べん,便,,
花,か,花,,
室,しつ,室,,
転員建験,てんいんたてけん,転員建験,,
文道先分,ぶんどうせんぶん,文道先分,,
通行課単,つうこうかか,通行課単,,
味高音十,みこうおんじゅう,味高音十,,
夏飯用急,かはんようきゅう,夏飯用急,,
空団特水,くうだんべつすい,空団特水,,
別工方趣,べつこうかたしゅ,別工方趣,,
世局切説,せきょくせつせつ,世局切説,,
勉校震銀,きょうこうしんぎん,勉校震銀,,
度学女入,どがくじょにゅう,度学女入,,
旅去屋場,りょきょおくじょう,旅去屋場,,
普店社便,ふてんしゃべん,普店社便,,
花室,かしつ,花室,,
理,り,理,,
題,だい,題,,
小,こ,小,,
危,き,危,,
意,い,意,,
漢,かん,漢,,
番,ばん,番,,
食,しょく,食,,
風,ふう,風,,
彼,ひ,彼,,
生,せい,生,,
安,あん,安,,
字,じ,字,,
口,こう,口,,
復,ふく,復,,
親,しん,親,,
将,しょう,将,,
人,じん,人,,
台,だい,台,,
郵,ゆう,郵,,
束,そく,束,,
画,が,画,,
指,し,指,,
以,い,以,,
