Question,Answers,Comment,Instructions,Render as
番,ばん,番,one's turn,
険,けん,険,steep,
色,しき,色,color,
者,しゃ,者,someone,
下,か,下,below,
上,じょう,上,up,
昼,ちゅう,昼,daytime,
員,いん,員,member,
食,しょく,食,eat,
二,に,二,two,
約,やく,約,promise,
弟,てい,弟,younger brother,
飛,ひ,飛,fly,
飯,はん,飯,meal,
族,ぞく,族,tribe,
休,きゅう,休,rest,
人,じん,人,person,
新,しん,新,new,
数,すう,数,number,
映,えい,映,reflect,
興,こう,興,entertain,
震,しん,震,quake,
強,きょう,強,strong,
病,びょう,病,sick,
鳥,ちょう,鳥,bird,
趣,しゅ,趣,gist,
場,じょう,場,place,
袋,たい,袋,sack,
朝,ちょう,朝,morning,
曜,よう,曜,day of the week,
理,り,理,reason,
旅,りょ,旅,trip,
高,こう,高,tall,
合,ごう,合,fit,
史,し,史,history,
問,もん,問,question,
来,らい,来,come,
屋,おく,屋,roof,
堂,どう,堂,public chamber,
工,こう,工,craft,
会,かい,会,association,
習,しゅう,習,learn,
写,しゃ,写,copy,
普,ふ,普,universal,
化,か,化,change,
危,き,危,dangerous,
有,ゆう,有,have,
豚,とん,豚,pork,
物,ぶつ,物,thing,
今,こん,今,now,
番険色者,ばんけんしきしゃ,番険色者,,
下上昼員,かじょうちゅういん,下上昼員,,
食二約弟,しょくにやくてい,食二約弟,,
飛飯族休,ひはんぞくきゅう,飛飯族休,,
人新数映,じんしんすうえい,人新数映,,
興震強病,こうしんきょうびょう,興震強病,,
鳥趣場袋,ちょうしゅじょうたい,鳥趣場袋,,
朝曜理旅,ちょうようりりょ,朝曜理旅,,
高合史問,こうごうしもん,高合史問,,
来屋堂工,らいおくどうこう,来屋堂工,,
会習写普,かいしゅうしゃふ,会習写普,,
化危有豚,かきゆうとん,化危有豚,,
物今,ぶつこん,物今,,
団,だん,団,group,
学,がく,学,study,
字,じ,字,letter,
楽,がく,楽,pleasure,
絡,らく,絡,entwine,
記,き,記,write down,
符,ふ,符,token,
部,ぶ,部,part,
肉,にく,肉,meat,
具,ぐ,具,tool,
時,じ,時,time,
週,しゅう,週,week,
世,せ,世,world,
仕,し,仕,do,
簡,かん,簡,simplicity,
局,きょく,局,office,
交,こう,交,mix,
車,しゃ,車,car,
水,すい,水,water,
分,ぶん,分,part,
動,どう,動,move,
書,しょ,書,write,
明,めい,明,bright,
作,さく,作,make,
活,かつ,活,active,
室,しつ,室,room,
意,い,意,idea,
毎,まい,毎,every,
組,そ,組,association,
郵,ゆう,郵,mail,
指,し,指,finger,
月,げつ,月,month,
題,だい,題,topic,
業,ぎょう,業,business,
小,しょう,小,small,
界,かい,界,world,
館,かん,館,public building,
階,かい,階,floor,
中,ちゅう,中,middle,
特,とく,特,special,
究,きゅう,究,research,
真,しん,真,true,
売,ばい,売,sell,
洋,よう,洋,ocean,
親,しん,親,parent,
質,しつ,質,quality,
行,こう,行,go,
復,ふく,復,again,
聞,ぶん,聞,hear,
自,じ,自,oneself,
団学字楽,だんがくじがく,団学字楽,,
絡記符部,らくきふぶ,絡記符部,,
肉具時週,にくぐじしゅう,肉具時週,,
世仕簡局,せしかんきょく,世仕簡局,,
交車水分,こうしゃすいぶん,交車水分,,
動書明作,どうしょめいさく,動書明作,,
活室意毎,かつしついまい,活室意毎,,
組郵指月,そゆうしげつ,組郵指月,,
題業小界,だいぎょうしょうかい,題業小界,,
館階中特,かんかいちゅうとく,館階中特,,
究真売洋,きゅうしんばいよう,究真売洋,,
親質行復,しんしつこうふく,親質行復,,
聞自,ぶんじ,聞自,,
見,けん,見,see,
大,だい,大,large,
障,しょう,障,hurt,
子,し,子,child,
注,ちゅう,注,pour,
紹,しょう,紹,introduce,
女,じょ,女,woman,
先,せん,先,previous,
服,ふく,服,clothes,
勉,べん,勉,exertion,
輩,はい,輩,comrade,
主,しゅ,主,master,
伝,でん,伝,transmit,
以,い,以,by means of,
布,ふ,布,linen,
家,か,家,house,
日,にち,日,day,
文,ぶん,文,writing,
使,し,使,use,
歴,れき,歴,curriculum,
夕,ゆう,夕,evening,
間,かん,間,interval,
験,けん,験,test,
発,はつ,発,departure,
連,れん,連,take along,
名,めい,名,name,
校,こう,校,school,
急,きゅう,急,hurry,
花,か,花,flower,
紙,し,紙,paper,
口,く,口,mouth,
説,せつ,説,theory,
安,あん,安,cheap,
運,うん,運,carry,
切,せつ,切,cut,
便,べん,便,convenience,
長,ちょう,長,long,
生,せい,生,life,
社,しゃ,社,company,
