Question,Answers,Comment,Instructions,Render as
木,もく,木,tree,
金,きん,金,gold,
三,さん,三,three,
語,ご,語,language,
二,に,二,two,
子,し,子,child,
月,げつ,月,month,
土,ど,土,soil,
週,しゅう,週,week,
気,き,気,feeling,
時,じ,時,time,
電,でん,電,electricity,
会,かい,会,association,
映,えい,映,reflect,
画,が,画,brush-stroke,
校,こう,校,school,
生,せい,生,life,
四,し,四,four,
水,すい,水,water,
言,げん,言,say,
事,じ,事,thing,
火,か,火,fire,
一,いち,一,one,
分,ぶん,分,part,
社,しゃ,社,company,
徒,と,徒,junior,
屋,おく,屋,roof,
元,げん,元,origin,
男,だん,男,male,
八,はち,八,eight,
葉,よう,葉,leaf,
五,ご,五,five,
十,じゅう,十,ten,
九,きゅう,九,nine,
来,らい,来,come,
友,ゆう,友,friend,
名,めい,名,name,
国,こく,国,country,
大,だい,大,large,
女,じょ,女,woman,
年,ねん,年,year,
六,ろく,六,six,
午,ご,午,noon,
外,がい,外,outside,
車,しゃ,車,car,
部,ぶ,部,part,
今,こん,今,now,
仕,し,仕,do,
間,かん,間,interval,
英,えい,英,England,
学,がく,学,study,
天,てん,天,heaven,
先,せん,先,previous,
達,たつ,達,attain,
後,ご,後,behind,
前,ぜん,前,in front,
曜,よう,曜,day of the week,
話,わ,話,talk,
日,にち,日,day,
円,えん,円,round,
七,しち,七,seven,
